contract_name,address,pc,mnemonic,access_type,width,bitmask,value_source,routine_label,subsystem,nearest_3fce_pc,pc_delta_from_3fce,relative_to_anchor,same_routine_as_3fce,contract_action,hypothesis,required_for_minimal_os,confidence,notes
EFI_OUTPUT_COMPANION,0x3FC8,0xCE81,LDD L3FC8,R,16,,memory,LCE10,ASIC_STATUS_REF,0x8512,18927,unrelated_context,no,status_read,TOC1/knock-window timing/status source; not EFI PW companion,no_unless_dependency_proves,medium,ASIC timing/status candidate
EFI_OUTPUT_COMPANION,0x3FCA,0x741F,LDD L3FCA,R,16,,memory,L7100,ASIC_STATUS_REF,0x8426,-4103,unrelated_context,no,status_read,RPM/event counter candidate; not EFI PW companion,no_unless_dependency_proves,medium,ASIC 16-bit RPM/event counter
EFI_OUTPUT_COMPANION,0x3FCC,0x74D6,STD L3FCC,W,16,,D=0xD000,L74D3,ASIC_COMMAND_OUTPUT,0x8426,-3920,unrelated_context,no,constant_command_write,init/setup command candidate before runtime; possible ASIC fuel/output mode preload,test_item,medium,ASIC fuel/scheduler command candidate A
EFI_OUTPUT_COMPANION,0x3FEA,0x74DF,STD L3FEA,W,16,,D=0xDFFF,L74D3,FUEL_MATH_HANDOFF,0x8426,-3911,unrelated_context,no,constant_command_write,init/setup command candidate; possible ASIC output enable/mode preload,test_item,medium,ASIC fuel/scheduler command candidate B
EFI_OUTPUT_COMPANION,0x3FCE,0x8426,STD L3FCE,W,16,,D,L82ED,ASIC_COMMAND_OUTPUT,0x8426,0,anchor_write,yes,zero_or_transient_gate_write,EFI PW anchor write; likely zero/no-fuel or transient gate path,yes_if_confirmed,high,ASIC EFI PW / fuel pulse-width handoff
EFI_OUTPUT_COMPANION,0x3FCE,0x8512,STD L3FCE,W,16,,D=0x7FFF,L84F5,ASIC_COMMAND_OUTPUT,0x8512,0,anchor_write,yes,normal_tbi_final_pw_write,Final normal TBI BPW handoff after bias/clamp and CPI/PFI branch,yes_if_confirmed,high,ASIC EFI PW / fuel pulse-width handoff
EFI_OUTPUT_COMPANION,0x3FE8,0xABAA,STD L3FE8,W,16,,D,LA906,SPARK_EST,0x8512,9880,unrelated_context,no,spark_handoff_write,EST/spark timing output engine; not EFI PW companion,no_unless_dependency_proves,high,ASIC EST/spark timing output engine
EFI_OUTPUT_COMPANION,0x3FCA,0xABD3,LDD L3FCA,R,16,,memory,LA906,ASIC_STATUS_REF,0x8512,9921,unrelated_context,no,status_read,RPM/event counter in spark-side routine; not EFI PW companion,no_unless_dependency_proves,medium,ASIC 16-bit RPM/event counter
EFI_OUTPUT_COMPANION,0x3FEC,0xAC28,LDX L3FEC,R,16,,memory,LA906,ASIC_STATUS_REF,0x8512,10006,unrelated_context,no,status_read,hardware status/source read before write to $3FE4; likely spark/status companion not EFI PW,no_unless_dependency_proves,medium,ASIC hardware status/source
EFI_OUTPUT_COMPANION,0x3FCA,0x8629,LDX L3FCA,R,16,,memory,L85B2,ASIC_STATUS_REF,0x8512,279,unrelated_context,no,status_read,RPM/event counter candidate near fuel logic but read-only; no latch/strobe evidence,no_unless_dependency_proves,medium,ASIC 16-bit RPM/event counter | 16 BIT RPM COUNTER
EFI_OUTPUT_COMPANION,0x3FCA,0xE01E,LDX L3FCA,R,16,,memory,LDF54,ASIC_STATUS_REF,0xFAEE,-6864,unrelated_context,no,status_read,RPM/event counter candidate; not EFI PW companion,no_unless_dependency_proves,medium,ASIC 16-bit RPM/event counter
EFI_OUTPUT_COMPANION,0x3FCC,0xFADC,STX L3FCC,W,16,,X,LFA5B,ASIC_COMMAND_OUTPUT,0xFAEE,-18,before_3fce_same_routine,yes,diagnostic_preload_command,Diagnostic/output-cycling pre-write; possible mode/enable preload for output cycling,test_item,high,ASIC fuel/scheduler command candidate A
EFI_OUTPUT_COMPANION,0x3FEA,0xFAE5,STX L3FEA,W,16,,X,LFA5B,FUEL_MATH_HANDOFF,0xFAEE,-9,before_3fce_same_routine,yes,diagnostic_preload_command,Diagnostic/output-cycling pre-write; possible companion enable/mode/strobe candidate,test_item,high,ASIC fuel/scheduler command candidate B
EFI_OUTPUT_COMPANION,0x3FCE,0xFAEE,STD L3FCE,W,16,,D=0x00C5,LFA5B,ASIC_COMMAND_OUTPUT,0xFAEE,0,anchor_write,yes,diagnostic_3ms_pw_write,Diagnostic output-cycling write; $00C5 documented as 3 msec pulses,yes_if_confirmed,high,ASIC EFI PW / fuel pulse-width handoff | SAVE TO EFI PW
EFI_OUTPUT_COMPANION,0x3FCE,0xFB44,STD L3FCE,W,16,,D=0x0000,LFA5B,ASIC_COMMAND_OUTPUT,0xFB44,0,anchor_write,yes,efi_pw_zero_off,Diagnostic/output-off zero write; likely no-fuel/off behavior,yes_if_confirmed,high,ASIC EFI PW / fuel pulse-width handoff
