address_or_range,stage,function,stock_value_or_scale,classification,patch_priority,notes
$7E09-$7E33,slow_o2_filter,Clamp and lag-filter raw O2 into L01D2,"$48BB/$48BC clamp; $48BD idle coeff; $4D05-$4D0D non-idle coeff",confirmed_static,high,"Raw O2 extremes are clipped before slow filtering"
$86B2-$86F0,fast_rich_lean,Fast rich/lean detector,"mean threshold +/- $4947; inside window uses current-vs-prior raw O2 direction",confirmed_static,medium,"Fast state stored in $003E bit6 and selects P-correction sign"
$8790-$87BE,slow_rich_lean,Slow rich/lean and error magnitude,"$4CF3-$4CFB rich; $4CFC-$4D04 lean; $4955 rich-error scale",confirmed_static,medium,"Filtered O2 L01D2; error stored L0280 and limited to 96"
$4CEA-$4CF2,calibration,Mean rich/lean threshold vs airflow,"stock ~451-460 mV",stock_calibration,pending_sensor_bias_test,"Not one universal 450 mV switch point"
$4CF3-$4CFB,calibration,Rich threshold vs airflow,"stock ~473-486 mV",stock_calibration,pending_sensor_bias_test,"Off-idle slow rich threshold"
$4CFC-$4D04,calibration,Lean threshold vs airflow,"stock ~434-469 mV",stock_calibration,pending_sensor_bias_test,"Off-idle slow lean threshold"
$48BB,calibration,Slow-filter low O2 clamp,"36 ~= 156 mV",stock_calibration,medium,"Values below this are not passed literally into slow filter"
$48BC,calibration,Slow-filter high O2 clamp,"184 ~= 799 mV",stock_calibration,medium,"Values above this are not passed literally into slow filter"
$48BD,calibration,Idle slow-O2 filter coefficient,"2 ~= 0.008",stock_calibration,low,"Idle uses fixed coefficient"
$4D05-$4D0D,calibration,Non-idle slow-O2 filter coefficient vs airflow,"8..33 ~= 0.031..0.129",stock_calibration,high,"Controls slow-state lag"
$4947,calibration,Fast rich/lean window,"36 ~= 156 mV",stock_calibration,medium,"Applied around airflow-dependent mean threshold"
$494A/$494B/$494C,calibration,Idle rich/lean/mean thresholds,"~560/~477/~516 mV",stock_calibration,low,"Fixed idle thresholds replace off-idle tables"
$87BE-$884F,proportional,Build proportional correction magnitude/duration,"$4D0E-$4D84 plus $494F-$4956 modifiers",confirmed_static,high,"P is timed additive PW correction"
$4D0E-$4D1A,calibration,Base proportional counts vs slow O2 error,"16..64 counts",stock_calibration,high,"Base P magnitude before RPM/MAP gain"
$4D1B-$4D27,calibration,Proportional duration vs slow O2 error,"25 ms..4800 ms",stock_calibration,high,"Large error can hold P correction for seconds"
$4D28-$4D30,calibration,Proportional duration offset vs airflow,"200 ms..25 ms",stock_calibration,medium,"Off-idle duration offset"
$4D31-$4D84,calibration,Proportional gain vs MAP/RPM,"~0.156..0.375 stock surface",stock_calibration,highest,"Gain rises in truck's 1200-2800 rpm / 60-90 kPa problem region"
$8850-$88CA,integrator,Integrator delay gate and one-count update,"$4CE1-$4CE9 base delay; $4D85-$4D91 error multiplier",confirmed_static,high,"Fast/slow rich-lean agreement required before INT ratchets"
$4CE1-$4CE9,calibration,Base INT delay vs airflow,"800 ms..150 ms",stock_calibration,high,"Higher airflow speeds INT updates"
$4D85-$4D91,calibration,INT-delay multiplier vs slow O2 error,"~0.996 down to ~0.375 then rising",stock_calibration,high,"Meaningful error can shorten INT update interval sharply"
$4910/$4911,calibration,INT limits,"40 / 158",stock_calibration,low,"INT neutral is 128"
$88E9-$891A,short_term_output,Combine INT and P into signed L026F,"lean: INT+P-128; rich: INT-P-128",confirmed_static,highest,"Result is additive PW counts, not a multiplicative percentage"
$8380-$839C,fuel_application,Apply signed L026F to synchronous PW,"add/subtract L026F from L024E",confirmed_static,highest,"Short-term closed-loop correction acts downstream of BLM"
$804C-$8055,blm_application,Apply learned BLM to synchronous PW,"effective PW *= BLM/128",confirmed_static,highest,"BLM is multiplicative and earlier than INT/P"
$80EE-$8105,blm_application,BLM multiply helper,"double PW then 8x16 multiply by BLM",confirmed_static,high,"Establishes 128-centered multiplicative behavior"
$8E1D-$8EA6,blm_learning,BLM learning timer/window/direction,"$48ED/$48F7-$48FC",confirmed_static,high,"Rich subtracts BLM step; lean adds BLM step"
$48ED,calibration,BLM update period,"12 ~= 650 ms",stock_calibration,medium,"Persistent bias can move a cell visibly in seconds"
$48F7/$48F8,calibration,BLM INT learning windows,"2 normal / 4 idle counts",stock_calibration,medium,"INT displacement required before BLM movement"
$48F9/$48FA/$48FC,calibration,BLM limits,"84 normal min / 90 idle min / 172 max",stock_calibration,low,"Cell clamp limits"
$48FB,calibration,BLM step size,"1 count",stock_calibration,medium,"One count per qualified update"
PE-active path,mode_interaction,Protect PE from learned-lean BLM and reset short-term correction,"BLM<128 skipped in PE; INT/P reset paths",confirmed_static,high,"Earlier PE entry can remove narrowband authority in high-load region"
