address,pc,mnemonic,access_type,width,value_source,routine_label,subsystem,boot_init_run_diag,before_first_3fce_write,after_first_3fce_write,constant_or_variable,possible_role,required_for_minimal_os,confidence,notes
0x3FFC,0x713A,STX L3FFC,W,16,X,L7100,IO_LATCH_OUTPUT,boot_init,yes,no,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0x7140,LDD L3FFC,R,16,memory,L7100,IO_LATCH_OUTPUT,boot_init,yes,no,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0x714A,STD L3FFC,W,16,D,L7100,IO_LATCH_OUTPUT,boot_init,yes,no,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FC0-0x3FF8,0x715B,"STD 0,X",W,16,D,L7100,OTHER,boot_init,yes,no,variable_or_runtime_register,block_clear_of_asic_window_including_candidate_fuel_registers,test_item_required_init_state_possible,medium_range_inferred,loop clears even ASIC words from $3FC0 through before $3FFA | ASIC last DRP/ref period counter | indexed_resolved
0x3FFC,0x71BD,STX L3FFC,W,16,X,L7100,IO_LATCH_OUTPUT,boot_init,yes,no,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0x71EF,LDD L3FFC,R,16,memory,L7100,IO_LATCH_OUTPUT,boot_init,yes,no,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0x71F7,STD L3FFC,W,16,D,L7100,IO_LATCH_OUTPUT,boot_init,yes,no,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FCA,0x741F,LDD L3FCA,R,16,memory,L7100,ASIC_STATUS_REF,boot_init,yes,no,variable_or_runtime_register,asic_timing_status_read_not_primary_fuel_companion,status_read_not_direct_3fce,high,ASIC 16-bit RPM/event counter
0x3FCC,0x74D6,STD L3FCC,W,16,D=0xD000,L74D3,ASIC_COMMAND_OUTPUT,ref_interrupt_pre_fuel_candidate,yes,no,constant,ref_interrupt_command_preload_or_persistent_init_candidate,test_item_possible_persistent_init_state,high,ASIC fuel/scheduler command candidate A
0x3FEA,0x74DF,STD L3FEA,W,16,D=0xDFFF,L74D3,FUEL_MATH_HANDOFF,ref_interrupt_pre_fuel_candidate,yes,no,constant,ref_interrupt_command_preload_or_persistent_init_candidate,test_item_possible_persistent_init_state,high,ASIC fuel/scheduler command candidate B
0x3FCE,0x8426,STD L3FCE,W,16,D,L82ED,ASIC_COMMAND_OUTPUT,runtime_fuel,no,no,variable_or_runtime_register,runtime_efi_pw_handoff,yes_if_3fce_bench_confirmed,high,ASIC EFI PW / fuel pulse-width handoff
0x3FCE,0x8512,STD L3FCE,W,16,D=0x7FFF,L84F5,ASIC_COMMAND_OUTPUT,runtime_fuel,no,yes,constant,runtime_efi_pw_handoff,yes_if_3fce_bench_confirmed,high,ASIC EFI PW / fuel pulse-width handoff
0x3FFC,0x8577,LDD L3FFC,R,16,memory,L8548,IO_LATCH_OUTPUT,runtime_or_unknown,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0x857F,STD L3FFC,W,16,D,L8548,IO_LATCH_OUTPUT,runtime_or_unknown,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
