semantic_id,group,name,units,source,read_only,notes
LIFECYCLE_STATE,Lifecycle,Lifecycle State,state,lifecycle manager,yes,Primary reset stopped cranking running keyoff shutdown state
ROTATION_VALID,Lifecycle,Rotation Valid,bool,REF manager,yes,Qualified engine rotation state
RPM,Lifecycle,Engine Speed,rpm,REF manager,yes,Engineering RPM derived from REF timing
RUN_LATCH,Lifecycle,Run Latched,bool,lifecycle manager,yes,Crank to run qualification result
MAP_RAW,MAP,MAP ADC Raw,count,ADC acquisition,yes,Direct ADC observation
MAP_VDC,MAP,MAP Input Voltage,V,ADC conversion,yes,Converted input voltage
MAP_KPA_ABS,MAP,MAP Pressure,kPa abs,MAP transfer,yes,Engineering manifold pressure
MAP_VALID,MAP,MAP Valid,bool,sensor validation,yes,True measured validity only
BARO_KPA_ABS,MAP,Barometric Pressure,kPa abs,BARO capture,yes,Captured from valid MAP before crank and held for run cycle
BARO_VALID,MAP,BARO Valid,bool,BARO capture,yes,False if pre-crank MAP capture was not valid
PRESSURE_RATIO,MAP,MAP to BARO Ratio,ratio,derived,yes,MAP divided by captured BARO
TPS_RAW,TPS,TPS ADC Raw,count,ADC acquisition,yes,Direct ADC observation
TPS_VDC,TPS,TPS Input Voltage,V,ADC conversion,yes,Converted input voltage
TPS_PERCENT,TPS,Throttle Position,percent,TPS transfer,yes,Engineering throttle position
TPS_RATE,TPS,Throttle Rate,percent/s,derived,yes,Filtered rate used by hybrid air model and AE
TPS_VALID,TPS,TPS Valid,bool,sensor validation,yes,True measured validity only
MAT_ENABLED,MAT,MAT Enabled,bool,configuration,yes,Optional added sensor configured present
MAT_RAW,MAT,MAT ADC Raw,count,ADC acquisition,yes,Direct ADC observation
MAT_VDC,MAT,MAT Input Voltage,V,ADC conversion,yes,Converted input voltage
MAT_C,MAT,Measured Air Temperature,deg C,MAT transfer,yes,Measured engineering temperature
MAT_K,MAT,Air Temperature,K,derived,yes,Absolute temperature used by air model
MAT_CONTROL_C,MAT,Control Air Temperature,deg C,sensor fallback layer,yes,May be substituted while MAT_C remains invalid
MAT_VALID,MAT,MAT Valid,bool,sensor validation,yes,True measured validity only
MAT_SUBSTITUTED,MAT,MAT Substituted,bool,sensor fallback layer,yes,Explicit fallback indicator
CTS_RAW,CTS,CTS ADC Raw,count,ADC acquisition,yes,Direct ADC observation
CTS_VDC,CTS,CTS Input Voltage,V,ADC conversion,yes,Converted input voltage
CTS_C,CTS,Coolant Temperature,deg C,CTS transfer,yes,Measured engineering temperature
CTS_CONTROL_C,CTS,Control Coolant Temperature,deg C,sensor fallback layer,yes,May be substituted while CTS_C remains invalid
CTS_VALID,CTS,CTS Valid,bool,sensor validation,yes,True measured validity only
CTS_SUBSTITUTED,CTS,CTS Substituted,bool,sensor fallback layer,yes,Explicit fallback indicator
BATTERY_RAW,Battery,Battery ADC Raw,count,ADC acquisition,yes,Direct ADC observation
BATTERY_V,Battery,Battery Voltage,V,battery transfer,yes,Engineering vehicle supply voltage
BATTERY_VALID,Battery,Battery Valid,bool,sensor validation,yes,True measured validity only
VE_SD_USED,Air Charge,Speed Density VE,ratio,air charge manager,yes,Interpolated VE used in SD estimate
AN_FILLING_USED,Air Charge,Alpha N Filling,ratio,air charge manager,yes,Interpolated RPM TPS filling value
AIR_SD,Air Charge,Speed Density Air Mass,mg/cycle,air charge manager,yes,SD estimate before blending
AIR_AN,Air Charge,Alpha N Air Mass,mg/cycle,air charge manager,yes,Alpha N estimate before blending
AIR_MODEL_DELTA,Air Charge,Air Model Difference,mg/cycle,derived,yes,Alpha N minus SD
AN_BASE_WEIGHT,Air Charge,Alpha N Base Authority,ratio,air charge manager,yes,Steady high load blend authority
AN_TRANSIENT_STATE,Air Charge,Alpha N Transient Authority,ratio,air charge manager,yes,Temporary throttle movement authority
AN_WEIGHT,Air Charge,Alpha N Total Authority,ratio,air charge manager,yes,Final bounded Alpha N weight
SD_WEIGHT,Air Charge,Speed Density Authority,ratio,derived,yes,One minus Alpha N weight
AIR_MASS_CYCLE,Air Charge,Final Air Mass,mg/cycle,air charge manager,yes,Single downstream airflow semantic quantity
AIR_MODEL_MODE,Air Charge,Air Model Mode,state,air charge manager,yes,SD hybrid Alpha N fallback or invalid
AIR_MODEL_VALID,Air Charge,Air Model Valid,bool,air charge manager,yes,Final air estimate validity
