pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x71B4,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BSET L0044,#$01",RMW,0x0044,DIRECT_RAM,SPARK_EST,YES,HIGH,bit,0x01,set 0x01,,L7100,mainline/unknown,0xFC2C,EST,"SET b0, FACTORY TEST ENTERED",high
0x73B9,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BCLR L0004,#$10",RMW,0x0004,DIRECT_RAM,SPARK_EST,YES,HIGH,bit,0x10,clear 0x10,,L7100,mainline/unknown,0xFC2C,EST,"CLR b4, HOT RESTART",high
0x73D3,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,CMPA L495B,R,0x495B,ROM_TABLE,SPARK_EST,YES,MEDIUM,8,,CMPA,,L7100,mainline/unknown,0xFC2C,EST,"77c, MIN START UP THRESH FOR HOT RESTART",high
0x73D8,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BSET L0004,#$10",RMW,0x0004,DIRECT_RAM,SPARK_EST,YES,HIGH,bit,0x10,set 0x10,,L7100,mainline/unknown,0xFC2C,EST,"SET b4, HOT RESTART",high
0x74EA,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRCLR L0044,#$01,L74F1",R,0x0044,DIRECT_RAM,SPARK_EST,YES,MEDIUM,bit,0x01,bit test 0x01,,L74D3,IRQ/DRP/ref interrupt,0x740F,EST,"BR IF NOT b0, FACTORY TEST ENTERED",high
0x7503,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L3016,W,0x3016,HC11_REG,SPARK_EST,YES,HIGH,16,,D,,L74D3,IRQ/DRP/ref interrupt,0x740F,,TOC1 | TOC 1,high
0x7509,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BCLR 0,X,#$40",RMW,0x3062,UNKNOWN_HW,SPARK_EST,YES,HIGH,bit,0x40,clear 0x40,X=0x3062,L74D3,IRQ/DRP/ref interrupt,0x740F,,External 306x hardware latch/status candidate | CLR b6 | indexed_resolved,high
0x750C,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BSET 0,X,#$40",RMW,0x3062,UNKNOWN_HW,SPARK_EST,YES,HIGH,bit,0x40,set 0x40,X=0x3062,L74D3,IRQ/DRP/ref interrupt,0x740F,,External 306x hardware latch/status candidate | SET b6 | indexed_resolved,high
0x750F,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRSET L0044,#$10,L7516",R,0x0044,DIRECT_RAM,SPARK_EST,YES,MEDIUM,bit,0x10,bit test 0x10,,L74D3,IRQ/DRP/ref interrupt,0x740F,IGNITION OFF,"BR IF b4, IGNITION OFF",high
0x7539,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRSET L0044,#$10,L7548",R,0x0044,DIRECT_RAM,SPARK_EST,YES,MEDIUM,bit,0x10,bit test 0x10,,L74D3,IRQ/DRP/ref interrupt,0x740F,IGNITION OFF,"BR IF b4, IGNITION OFF",high
0x783A,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRSET L0004,#$10,L784B",R,0x0004,DIRECT_RAM,SPARK_EST,YES,MEDIUM,bit,0x10,bit test 0x10,,L7827,mainline/unknown,0x7569;0x7EA0,EST,"BR IF b4, 1 = HOT restart",high
0x794E,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRCLR L0044,#$01,L7958",R,0x0044,DIRECT_RAM,SPARK_EST,YES,MEDIUM,bit,0x01,bit test 0x01,,L785A,TOC3/6.25ms major-loop interrupt,0x75D1;0x774C,EST,"BR IF NOT b0, FACTORY TEST ENTERED",high
0x79BC,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,CPX L495D,R,0x495D,ROM_TABLE,SPARK_EST,YES,MEDIUM,16,,CPX,,L7989,TOC3/6.25ms major-loop interrupt,0x7A81,RUN|EST,"10 SEC'S, HOT restart TIME AFTER RUN",high
0x79C1,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BCLR L0004,#$10",RMW,0x0004,DIRECT_RAM,SPARK_EST,YES,HIGH,bit,0x10,clear 0x10,,L7989,TOC3/6.25ms major-loop interrupt,0x7A81,EST,"CLR b4, HOT restart",high
0x7D4E,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,"BRCLR L0044,#$10,L7D90",R,0x0044,DIRECT_RAM,SPARK_EST,YES,MEDIUM,bit,0x10,bit test 0x10,,L7D4B,mainline/unknown,0x7A19,IGNITION OFF,"BR IF NOT b4, IGNITION OFF",high
0x8076,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,CMPA L5156,R,0x5156,ROM_TABLE,SPARK_EST,YES,MEDIUM,8,,CMPA,,L7D4B,mainline/unknown,0x7A19,EST|FUEL_CALC,"16 MPH, MIN Vss FOR ABUSE TEST",high
0x807E,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,CMPA L5159,R,0x5159,ROM_TABLE,SPARK_EST,YES,MEDIUM,8,,CMPA,,L7D4B,mainline/unknown,0x7A19,EST|FUEL_CALC,75% TPS MIN FOR ABUSE TEST,high
0x808A,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDAA L5158,R,0x5158,ROM_TABLE,SPARK_EST,YES,MEDIUM,8,,memory,,L7D4B,mainline/unknown,0x7A19,EST|FUEL_CALC,"3800 RPM, (ABUSE TEST)",high
0x83B1,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,"BRCLR L0044,#$10,L83BD",R,0x0044,DIRECT_RAM,SPARK_EST,YES,MEDIUM,bit,0x10,bit test 0x10,,L82ED,mainline/unknown,0x8238,IGNITION OFF|FUEL_CALC,"BR IF NOT b4, IGNITION OFF",high
0x85D0,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,"BRCLR L0004,#$10,L85D7",R,0x0004,DIRECT_RAM,SPARK_EST,YES,MEDIUM,bit,0x10,bit test 0x10,,L85B2,mainline/unknown,0x7E66,EST,"BR IF NOT b4, SET, 1 = HOT restart PROCEEDING",high
