semantic_id,category,label,class,shape,units,owner,exposure,intended_effect,explicit_non_effects
CFG_ENGINE_DISPLACEMENT,Engine Setup,Engine displacement,SETUP,scalar,L,physical_configuration,XDF,"physical engine swept volume used by air model","does not tune VE injector flow spark or idle"
CFG_CYLINDER_COUNT,Engine Setup,Cylinder count,SETUP,scalar,count,physical_configuration,XDF,"defines cylinder count for derived per-cylinder quantities","does not change total displacement"
CFG_INJECTOR_COUNT,Fuel System Setup,Injector count,SETUP,scalar,count,physical_configuration,XDF,"defines number of installed active injectors","does not change per-injector design flow"
CFG_INJECTOR_DESIGN_FLOW,Fuel System Setup,Injector design flow,SETUP,scalar,lb/hr/injector,physical_configuration,XDF,"defines injector characterized mass flow at design pressure","does not compensate VE deadtime or short-pulse error"
CFG_INJECTOR_DESIGN_PRESSURE,Fuel System Setup,Injector design pressure,SETUP,scalar,psi_gauge,physical_configuration,XDF,"defines pressure paired with injector design flow","does not represent current regulator setting"
CFG_OPERATING_FUEL_PRESSURE,Fuel System Setup,Operating fuel pressure,SETUP,scalar,psi_gauge,physical_configuration,XDF,"defines measured current TBI fuel pressure","changes derived effective IFR only"
DER_EFFECTIVE_INJECTOR_FLOW,Fuel System Setup,Effective injector flow,DERIVED,scalar,lb/hr/injector,physical_configuration,ADX_ONLY,"reports pressure-corrected injector flow actually used","not independently editable"
CFG_FUEL_STOICH_AFR,Fuel System Setup,Fuel stoichiometric AFR,SETUP,scalar,ratio,physical_configuration,XDF,"defines stoichiometric fuel chemistry reference","does not command enrichment by itself"
CFG_TPS_CLOSED_V,Sensor Setup,TPS closed voltage,SETUP,scalar,V,sensor_semantics,XDF,"defines zero-percent TPS transfer point","does not set idle threshold"
CFG_TPS_WOT_V,Sensor Setup,TPS WOT voltage,SETUP,scalar,V,sensor_semantics,XDF,"defines 100-percent TPS transfer point","does not set PE threshold"
CFG_MAP_V_LOW,Sensor Setup,MAP low transfer voltage,ADVANCED,scalar,V,sensor_semantics,XDF,"defines low electrical point of MAP transfer","does not tune engine load"
CFG_MAP_KPA_LOW,Sensor Setup,MAP low transfer pressure,ADVANCED,scalar,kPa_abs,sensor_semantics,XDF,"defines pressure paired with MAP low voltage","does not alter VE"
CFG_MAP_V_HIGH,Sensor Setup,MAP high transfer voltage,ADVANCED,scalar,V,sensor_semantics,XDF,"defines high electrical point of MAP transfer","does not tune engine load"
CFG_MAP_KPA_HIGH,Sensor Setup,MAP high transfer pressure,ADVANCED,scalar,kPa_abs,sensor_semantics,XDF,"defines pressure paired with MAP high voltage","does not alter VE"
CFG_WB_V_LOW,Sensor Setup,Wideband low transfer voltage,SETUP,scalar,V,sensor_semantics,XDF,"defines low voltage of WB controller analog transfer","does not tune closed-loop gain"
CFG_WB_LAMBDA_LOW,Sensor Setup,Wideband lambda at low voltage,SETUP,scalar,lambda,sensor_semantics,XDF,"defines lambda paired with WB low voltage","does not command lambda target"
CFG_WB_V_HIGH,Sensor Setup,Wideband high transfer voltage,SETUP,scalar,V,sensor_semantics,XDF,"defines high voltage of WB controller analog transfer","does not tune closed-loop gain"
CFG_WB_LAMBDA_HIGH,Sensor Setup,Wideband lambda at high voltage,SETUP,scalar,lambda,sensor_semantics,XDF,"defines lambda paired with WB high voltage","does not command lambda target"
AIR_VE_SD,Air Charge,Speed-density VE,PRIMARY_TUNE,2D,RPM_x_kPa_percent,air_charge_manager,XDF,"corrects speed-density modeled cylinder filling","does not compensate injector or transient fuel errors"
AIR_AN_FILLING,Air Charge,Alpha-N filling,PRIMARY_TUNE,2D,RPM_x_TPS_ratio,air_charge_manager,XDF,"defines Alpha-N effective filling estimate","does not directly add fuel"
AIR_AN_BASE_WEIGHT,Air Charge,Alpha-N steady authority,ADVANCED,1D,pressure_ratio_to_fraction,air_charge_manager,XDF,"sets steady Alpha-N blend authority at high pressure ratio","does not change either airflow table"
AIR_AN_TIPIN_WEIGHT,Air Charge,Alpha-N tip-in authority,ADVANCED,1D,TPS_rate_to_fraction,air_charge_manager,XDF,"sets temporary Alpha-N authority on throttle opening","does not add AE fuel"
AIR_AN_TIPOUT_WEIGHT,Air Charge,Alpha-N tip-out authority,ADVANCED,1D,TPS_rate_to_fraction,air_charge_manager,XDF,"sets temporary Alpha-N authority on throttle closing","does not remove fuel directly"
AIR_AN_TRANSIENT_RISE,Air Charge,Alpha-N authority rise rate,ADVANCED,scalar,fraction/s,air_charge_manager,XDF,"controls how quickly transient Alpha-N authority rises","does not change airflow table values"
AIR_AN_TRANSIENT_DECAY,Air Charge,Alpha-N authority decay rate,ADVANCED,scalar,fraction/s,air_charge_manager,XDF,"controls return from transient Alpha-N authority","does not change AE decay"
AIR_AN_WEIGHT_MAX,Air Charge,Alpha-N maximum authority,ADVANCED,scalar,fraction,air_charge_manager,XDF,"bounds total Alpha-N blend authority","does not alter SD estimate"
FUEL_NORMAL_LAMBDA,Fuel Target,Normal target lambda,PRIMARY_TUNE,scalar,lambda,combustion_target_manager,XDF,"sets normal non-PE combustion target","does not change injector flow or VE"
FUEL_PE_LAMBDA,Fuel Target,PE target lambda,PRIMARY_TUNE,2D,RPM_x_load_lambda,combustion_target_manager,XDF,"sets commanded enriched lambda while PE active","does not qualify PE entry"
FUEL_CRANK_MASS,Fuel Startup,Cranking fuel mass,PRIMARY_TUNE,1D,CTS_to_mg_cycle,fuel_mass_manager,XDF,"sets dedicated cranking fuel request versus coolant temperature","does not alter run VE or afterstart"
FUEL_AFTERSTART_EXCESS,Fuel Startup,Afterstart initial excess,PRIMARY_TUNE,1D,CTS_to_fraction,fuel_mass_manager,XDF,"sets post-run-entry initial enrichment excess","does not change warmup table"
FUEL_AFTERSTART_TAU,Fuel Startup,Afterstart decay time,PRIMARY_TUNE,1D,CTS_to_s,fuel_mass_manager,XDF,"sets afterstart enrichment decay time constant","does not alter startup IAC decay"
FUEL_WARMUP_FACTOR,Fuel Warmup,Warmup fuel factor,PRIMARY_TUNE,1D,CTS_to_multiplier,fuel_mass_manager,XDF,"sets temperature-dependent run enrichment","does not change afterstart or AE"
FUEL_AE_TPS_GAIN,Fuel Transient,AE TPS gain,PRIMARY_TUNE,1D,CTS_to_mass_per_TPS_rate,transient_fuel_manager,XDF,"scales additive transient fuel from positive TPS rate","does not change Alpha-N authority"
FUEL_AE_MAP_GAIN,Fuel Transient,AE MAP gain,PRIMARY_TUNE,1D,CTS_to_mass_per_MAP_rate,transient_fuel_manager,XDF,"scales additive transient fuel from positive MAP rate","does not change VE"
FUEL_AE_DECAY,Fuel Transient,AE decay,PRIMARY_TUNE,scalar,1/s,transient_fuel_manager,XDF,"controls decay of additive AE fuel state","does not change air-model transient decay"
FUEL_AE_MAX,Fuel Transient,AE maximum fuel,ADVANCED,scalar,mg_cycle,transient_fuel_manager,XDF,"bounds additive AE fuel mass","does not cap base fuel"
INJ_DEADTIME,Injector Model,Injector deadtime,PRIMARY_TUNE,1D,batteryV_to_ms,injector_model,XDF,"compensates electrical opening delay versus battery voltage","does not compensate short-pulse hydraulic nonlinearity"
INJ_SHORT_PULSE_INVERSE,Injector Model,Short-pulse correction,PRIMARY_TUNE,1D,ideal_ms_to_command_ms,injector_model,XDF,"linearizes injector delivery at short effective open time","does not change injector rated flow"
INJ_COMMAND_PW_MIN,Injector Model,Minimum command PW,ADVANCED,scalar,ms,injector_model,XDF,"sets final hardware safety/minimum command clamp","does not reshape short-pulse curve"
INJ_COMMAND_PW_MAX,Injector Model,Maximum command PW,ADVANCED,scalar,ms,injector_model,XDF,"sets final command PW ceiling","does not change requested fuel mass"
FB_MODE,Fuel Feedback,Feedback mode,SETUP,enum,OPEN_NB_WB_DUAL,oxygen_feedback_manager,XDF,"selects open-loop narrowband wideband or dual feedback architecture","does not alter base fuel calibration"
FB_NB_KI,Fuel Feedback,Narrowband integral rate,ADVANCED,scalar,fraction_per_update,oxygen_feedback_manager,XDF,"sets NB rich/lean integrator response rate","does not change WB controller"
FB_NB_MIN,Fuel Feedback,Narrowband minimum correction,ADVANCED,scalar,multiplier,oxygen_feedback_manager,XDF,"sets lean-fuel correction lower authority bound","does not change lambda target"
FB_NB_MAX,Fuel Feedback,Narrowband maximum correction,ADVANCED,scalar,multiplier,oxygen_feedback_manager,XDF,"sets rich-fuel correction upper authority bound","does not change lambda target"
FB_NB_LAMBDA_WINDOW,Fuel Feedback,Narrowband stoich window,ADVANCED,scalar,lambda_delta,oxygen_feedback_manager,XDF,"limits NB operation to near-stoich targets","does not affect WB eligibility"
FB_WB_KP,Fuel Feedback,Wideband proportional gain,PRIMARY_TUNE,scalar,gain,oxygen_feedback_manager,XDF,"sets immediate WB response to lambda error","does not alter target lambda"
FB_WB_KI,Fuel Feedback,Wideband integral gain,PRIMARY_TUNE,scalar,gain_per_s,oxygen_feedback_manager,XDF,"sets accumulated WB correction rate","does not alter base VE"
FB_WB_MIN,Fuel Feedback,Wideband minimum correction,ADVANCED,scalar,multiplier,oxygen_feedback_manager,XDF,"bounds minimum WB fuel correction","does not change PE target"
FB_WB_MAX,Fuel Feedback,Wideband maximum correction,ADVANCED,scalar,multiplier,oxygen_feedback_manager,XDF,"bounds maximum WB fuel correction","does not change PE target"
FB_DUAL_NB_KI,Fuel Feedback,Dual-mode NB centering rate,ADVANCED,scalar,gain_per_s,oxygen_feedback_manager,XDF,"sets slow NB centering bias while WB remains primary","does not create a second fast fuel loop"
FB_DUAL_NB_MIN,Fuel Feedback,Dual NB minimum bias,ADVANCED,scalar,multiplier,oxygen_feedback_manager,XDF,"bounds slow dual-mode NB bias below unity","does not bound WB factor"
FB_DUAL_NB_MAX,Fuel Feedback,Dual NB maximum bias,ADVANCED,scalar,multiplier,oxygen_feedback_manager,XDF,"bounds slow dual-mode NB bias above unity","does not bound WB factor"
LC_RUN_ENTRY_RPM,Lifecycle,Run entry RPM,ADVANCED,scalar,rpm,lifecycle_manager,XDF,"sets crank-to-run RPM qualification threshold","does not set target idle RPM"
LC_RUN_ENTRY_TIME,Lifecycle,Run entry confirm time,ADVANCED,scalar,s,lifecycle_manager,XDF,"sets time RPM must remain above run threshold","does not control afterstart decay"
LC_REF_TIMEOUT_MULT,Lifecycle,REF timeout multiplier,DEVELOPER,scalar,periods,lifecycle_manager,XDF,"scales stale-REF timeout from last REF period","does not alter RPM calculation"
LC_REF_TIMEOUT_MIN,Lifecycle,Minimum REF timeout,DEVELOPER,scalar,ms,lifecycle_manager,XDF,"sets minimum stale-REF timeout","does not alter stall-confirm delay"
LC_STALL_CONFIRM,Lifecycle,Stall confirm time,ADVANCED,scalar,ms,lifecycle_manager,XDF,"sets duration of invalid rotation before confirmed stall","does not grant stale fuel/spark commands"
LC_PE_PR_ENTER,Lifecycle,PE pressure-ratio entry,PRIMARY_TUNE,1D,RPM_to_pressure_ratio,lifecycle_manager,XDF,"sets load-based PE entry threshold","does not set PE lambda"
LC_PE_PR_EXIT,Lifecycle,PE pressure-ratio exit,ADVANCED,1D,RPM_to_pressure_ratio,lifecycle_manager,XDF,"sets load-based PE hysteresis exit threshold","does not set PE lambda"
