order,module,inputs,outputs,ownership_note
1,input_hal,"hardware endpoints","raw ADC/REF/knock observations","acquisition only"
2,sensor_semantics,"raw observations; transfer setup","engineering values; validity; ROTATION_VALID; RPM","substitution never changes validity"
3,physical_configuration,"design-point/setup values","derived physical values including EFFECTIVE_INJECTOR_FLOW","derived values read-only"
4,baro_derivation,"MAP valid; ROTATION_VALID=false","BARO; PRESSURE_RATIO","no lifecycle dependency required"
5,lifecycle_manager,"rotation/RPM; TPS/MAP/BARO validity; battery; health","LIFECYCLE_STATE; RUN_ENTRY_EVENT; AFTERSTART_ELAPSED; IDLE_ACTIVE; PE_ACTIVE; DFCO_ACTIVE; FEEDBACK_STATE_ELIGIBLE","warmup correction not owned here"
6,air_charge_manager,"RPM; MAP; BARO; TPS; MAT; displacement; SD/AN calibration","AIR_SD; AIR_AN; AN_WEIGHT; AIR_MASS_CYCLE","Alpha-N predicts air only"
7,combustion_target_manager,"lifecycle; PE state; RPM/load","LAMBDA_TARGET","target computed before feedback"
8,oxygen_feedback_manager,"LAMBDA_TARGET; NB/WB semantics; FEEDBACK_STATE_ELIGIBLE","FEEDBACK_FACTOR; FEEDBACK_ACTIVE_MODE; contributor states","does not edit VE or target lambda"
9,transient_fuel_manager,"TPS_RATE; MAP_RATE; CTS; lifecycle","AE_FUEL_MASS_CYCLE","AE adds fuel only"
10,fuel_mass_manager,"AIR_MASS_CYCLE; LAMBDA_TARGET; CTS; run-entry timing; FEEDBACK_FACTOR; AE fuel","BASE_FUEL_MASS_CYCLE; WARMUP_FACTOR; AFTERSTART_FACTOR; REQUESTED_FUEL_MASS_CYCLE","final fuel mass; no electrical PW"
11,injector_model,"requested fuel mass; EFFECTIVE_INJECTOR_FLOW; battery; short-pulse/deadtime calibration","COMMAND_PW_MS; fuel command validity","mass-to-PW only"
12,idle_controller,"IDLE_ACTIVE; RPM; CTS; run-entry timing; DFCO exit","TARGET_IDLE_RPM; IAC_TARGET; IDLE_SPARK_CORR","IAC long-term; spark fast idle damping"
13,knock_manager,"knock activity/validity; RPM/load; lifecycle","KNOCK_RETARD; KNOCK_QUALIFIED","invalid configured sensing not equal zero knock"
14,spark_controller,"lifecycle; RPM/load; CTS/MAT; idle spark correction; knock retard","FINAL_SPARK_DEG_BTDC; spark validity","semantic timing only"
15,fuel_pump_manager,"lifecycle; prime calibration","PUMP_REQUEST","prime/run/stall/keyoff only"
16,command_arbitrator,"fuel/spark/IAC/pump requests; validity; permissions","approved stock-compatible commands","stale rejection and gates"
17,preserved_output_islands,"approved compatibility commands","hardware writes","no engine policy"
18,telemetry_manager,"already-calculated semantic states","ALDL/debug data","no duplicate formulas"
