semantic_id,shape,x_axis,x_points,y_axis,y_points,geometry_status,notes
AXIS_RPM_PRIMARY,axis,RPM,16,,,FROZEN,"shared primary engine-speed axis for major 2D surfaces"
AXIS_MAP_PRIMARY,axis,MAP_kPa_abs,16,,,FROZEN,"shared absolute-MAP load axis for speed density and main spark"
AXIS_TPS_PRIMARY,axis,TPS_percent,16,,,FROZEN,"shared throttle axis for Alpha-N"
AXIS_CTS_PRIMARY,axis,CTS_degC,16,,,FROZEN,"shared coolant-temperature axis for startup/warmup/idle/spark corrections"
AXIS_MAT_PRIMARY,axis,MAT_degC,16,,,FROZEN,"shared inlet-temperature correction axis"
AXIS_PRESSURE_RATIO,axis,MAP_div_BARO,8,,,FROZEN,"shared normalized-load axis for PE target/qualification and AN steady authority where applicable"
AXIS_TPS_RATE,axis,TPS_rate_percent_per_s,8,,,FROZEN,"Alpha-N transient-authority axis"
AXIS_BATTERY,axis,battery_V,8,,,FROZEN,"injector deadtime axis"
AXIS_SHORT_DURATION,axis,ideal_delivery_ms,12,,,FROZEN,"short-pulse inverse transfer axis"
AXIS_SENSOR_VOLTAGE_16,axis,input_VDC,16,,,FROZEN,"fixed 16-point capacity for analog sensor transfer tables; tuner sees VDC"
AXIS_FOLLOWER_RPM,axis,RPM,8,,,FROZEN,"idle follower seed compact RPM axis"
AXIS_FOLLOWER_TRANSIENT,axis,TPS_change_or_close_metric,8,,,FROZEN,"idle follower seed transient axis"
AIR_VE_SD,2D,AXIS_MAP_PRIMARY,16,AXIS_RPM_PRIMARY,16,FROZEN,"16x16 speed-density VE surface"
AIR_AN_FILLING,2D,AXIS_TPS_PRIMARY,16,AXIS_RPM_PRIMARY,16,FROZEN,"16x16 Alpha-N filling surface"
SPK_MAIN_TABLE,2D,AXIS_MAP_PRIMARY,16,AXIS_RPM_PRIMARY,16,FROZEN,"16x16 main spark table; load axis explicitly MAP kPa absolute"
SPK_KNOCK_THRESHOLD,2D,AXIS_MAP_PRIMARY,16,AXIS_RPM_PRIMARY,16,FROZEN,"16x16 knock-activity threshold surface"
FUEL_PE_LAMBDA,2D,AXIS_PRESSURE_RATIO,8,AXIS_RPM_PRIMARY,16,FROZEN,"16x8 PE target-lambda surface"
AIR_AN_BASE_WEIGHT,1D,AXIS_PRESSURE_RATIO,8,,,FROZEN,"steady Alpha-N authority"
AIR_AN_TIPIN_WEIGHT,1D,AXIS_TPS_RATE,8,,,FROZEN,"tip-in Alpha-N authority"
AIR_AN_TIPOUT_WEIGHT,1D,AXIS_TPS_RATE,8,,,FROZEN,"tip-out Alpha-N authority"
FUEL_CRANK_MASS,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"cranking fuel mass"
FUEL_AFTERSTART_EXCESS,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"afterstart initial excess"
FUEL_AFTERSTART_TAU,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"afterstart decay time"
FUEL_WARMUP_FACTOR,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"warmup factor"
FUEL_AE_TPS_GAIN,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"CTS-dependent TPS AE gain"
FUEL_AE_MAP_GAIN,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"CTS-dependent MAP AE gain"
INJ_DEADTIME,1D,AXIS_BATTERY,8,,,FROZEN,"battery-voltage deadtime"
INJ_SHORT_PULSE_INVERSE,1D,AXIS_SHORT_DURATION,12,,,FROZEN,"short-duration inverse transfer"
SPK_CRANK_CTS,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"cranking spark"
SPK_IDLE_BASE_CTS,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"idle base spark"
SPK_CTS_CORR,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"coolant spark correction"
SPK_MAT_CORR,1D,AXIS_MAT_PRIMARY,16,,,FROZEN,"inlet-temperature spark correction"
IDLE_TARGET_RPM,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"steady target idle"
IDLE_BASE_IAC,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"base IAC feedforward"
IDLE_STARTUP_RPM_OFFSET,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"startup idle target offset"
IDLE_STARTUP_RPM_TAU,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"startup target decay"
IDLE_STARTUP_AIR,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"startup air addition"
IDLE_STARTUP_AIR_TAU,1D,AXIS_CTS_PRIMARY,16,,,FROZEN,"startup air decay"
IDLE_FOLLOWER_SEED,2D,AXIS_FOLLOWER_TRANSIENT,8,AXIS_FOLLOWER_RPM,8,FROZEN,"compact 8x8 follower seed surface"
LC_PE_PR_ENTER,1D,AXIS_RPM_PRIMARY,16,,,FROZEN,"PE pressure-ratio entry"
LC_PE_PR_EXIT,1D,AXIS_RPM_PRIMARY,16,,,FROZEN,"PE pressure-ratio exit"
LC_PE_TPS_ENTER,1D,AXIS_RPM_PRIMARY,16,,,FROZEN,"PE TPS entry"
LC_PE_TPS_EXIT,1D,AXIS_RPM_PRIMARY,16,,,FROZEN,"PE TPS exit"
SENS_TPS_TRANSFER,1D,AXIS_SENSOR_VOLTAGE_16,16,,,FROZEN,"VDC to percent; linear sensors simply populate a linear curve"
SENS_MAP_TRANSFER,1D,AXIS_SENSOR_VOLTAGE_16,16,,,FROZEN,"VDC to kPa absolute"
SENS_MAT_TRANSFER,1D,AXIS_SENSOR_VOLTAGE_16,16,,,FROZEN,"VDC to degC nonlinear table"
SENS_CTS_TRANSFER,1D,AXIS_SENSOR_VOLTAGE_16,16,,,FROZEN,"VDC to degC nonlinear table"
SENS_WB_TRANSFER,1D,AXIS_SENSOR_VOLTAGE_16,16,,,FROZEN,"VDC to lambda"
SENS_BATTERY_TRANSFER,1D,AXIS_SENSOR_VOLTAGE_16,16,,,FROZEN,"ADC input VDC to vehicle supply VDC"
