target_resolved,target_symbol,address_class,write_count,write_pcs,write_classes,widths,bitmasks,indexed_write_count,unresolved_indexed_write_count,routine_labels,dispatcher_contexts,candidate_roles,highest_confidence,hardware_reachability_status,diagnostic_only_status,preserved_driver_relevance,keep_drop_replace_candidate,review_priority,notes
$0000,L0000,internal_ram:8,8,794B;FC04;FC09;FC11;FC1A;FC1F;FC24;FC29,bit_mutation:8,bit:8,#$01;#$08;#$04;#$02;#$10;#$20;#$40;#$80,0,0,L793A;LFBD6;LFC07;LFC11;LFC1D;LFC27,,mode_flag_or_safety_gate:8,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0001,L0001,internal_ram:3,3,71B7;FA9F;FAAD,bit_mutation:2|clear:1,bit:2|8:1,#$01,0,0,L7182;LFA9F;LFAA9,near_output_control_dispatcher_FAA5,mode_flag_or_safety_gate:2|ram_state_or_intermediate:1,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_dispatch_context,high,near dispatcher context; require dispatcher reverse-map join
$0002,L0002,internal_ram:4,4,7433;7952;79C5;FB0D,store:3|read_modify_write:1,8:4,,0,0,L741D;L793A;L79C5;LFB0D,,ram_state_or_intermediate:4,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0003,L0003,internal_ram:1,1,7983,store:1,8:1,,0,0,L797A,,ram_state_or_intermediate:1,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0004,L0004,internal_ram:12,12,73B9;73D8;79C1;7B56;7D57;7D7E;865F;A574;E038;E4B2;E4E4;F354,bit_mutation:12,bit:12,#$10;#$04;#$83;#$08;#$01;#$80;#$02,0,0,L73AA;L79BC;L7B13;L7D4B;L865C;LA56E;LE038;LE4B2;LE4E4;LF33A,,mode_flag_or_safety_gate:12,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0005,L0005,internal_ram:6,6,71C3;71EC;7F12;7F1B;7F67;7F6D,bit_mutation:6,bit:6,#$10;#$80;#$40,0,0,L71C3;L71EC;L7F11;L7F1A;L7F67;L7F6C,,mode_flag_or_safety_gate:6,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0006,L0006,internal_ram:2,2,C9A2;C9A8,store:2,8:2,,0,0,LC9A2;LC9A6,,ram_state_or_intermediate:2,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0007,L0007,internal_ram:5,5,91E6;926D;9B10;9BD6;A404,store:3|read_modify_write:2,8:5,,0,0,L91E6;L925E;L9AF9;L9BB1;LA3FA,,ram_state_or_intermediate:5,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0008,L0008,internal_ram:4,4,929E;93E5;9899;A401,store:3|clear:1,8:4,,0,0,L929C;L93E1;L9899;LA3FA,,ram_state_or_intermediate:4,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0009,L0009,internal_ram:13,13,930C;932A;93F0;93F3;94B2;9B06;9BCC;9EC7;A11F;A12A;A385;A392;A3FA,bit_mutation:13,bit:13,#$10;#$20;#$01;#$04;#$02;#$40,0,0,L930C;L932A;L93F0;L946E;L9AF9;L9BB1;L9EA0;LA115;LA124;LA381;LA38F;LA3FA,,mode_flag_or_safety_gate:13,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$000A,L000A,internal_ram:2,2,9200;93CD,store:2,8:2,,0,0,L9200;L93C5,,ram_state_or_intermediate:2,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$000C,L000C,internal_ram:2,2,F5BA;F5BF,clear:1|read_modify_write:1,8:2,,2,0,LF5A2,,ram_state_or_intermediate:2,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$000D,L000D,internal_ram:4,4,F585;F59A;F5B4;F5C1,store:4,16:4,,4,0,LF550;LF5A2,,ram_state_or_intermediate:4,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$000E,L000E,internal_ram:1,1,F5AB,store:1,16:1,,1,0,LF5A2,,ram_state_or_intermediate:1,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$000F,L000F,internal_ram:1,1,71FD,bit_mutation:1,bit:1,#$20,0,0,L71EC,,mode_flag_or_safety_gate:1,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0011,L0011,internal_ram:1,1,F3E6,read_modify_write:1,8:1,,1,0,LF387,,ram_state_or_intermediate:1,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0013,L0013,internal_ram:4,4,DD32;E19F;F33F;F38C,store:4,8:4,,4,0,LDD32;LE19B;LF33A;LF387,,ram_state_or_intermediate:4,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0014,L0014,internal_ram:3,3,DD21;DD37;E1A8,store:2|read_modify_write:1,8:3,,0,0,LDD14;LDD32;LE19B,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0015,L0015,internal_ram:6,6,7203;DD24;DD3E;E1AD;F374;F3D8,store:5|read_modify_write:1,8:6,,0,0,L71EC;LDD14;LDD32;LE19B;LF33A;LF387,,ram_state_or_intermediate:6,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0016,L0016,internal_ram:10,10,DD40;DDB7;DDBA;DE04;E77D;E78B;E7B1;E7BF;E7F1;E800,bit_mutation:10,bit:10,#$80;#$10;#$40;#$20;#$01,0,0,LDD40;LDDB7;LDDBA;LDE04;LE713;LE782;LE793;LE7B6;LE7C7;LE7F6,,mode_flag_or_safety_gate:10,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0017,L0017,internal_ram:13,13,7375;DC24;DC43;DC4D;DC6F;DE1A;DE2A;E831;E83F;E86A;E8C0;E8EF;E8FD,bit_mutation:13,bit:13,#$20;#$40;#$10;#$80;#$02,0,0,L7368;LDBE2;LDC43;LDC46;LDC6F;LDE07;LDE22;LE808;LE836;LE847;LE8BB;LE8C8;LE8F4,,mode_flag_or_safety_gate:13,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0018,L0018,internal_ram:17,17,A38A;A38F;A3DB;A3E3;A4B3;A4E6;DE3A;DE50;DE5D;DF51;DFBE;DFCA;E006;E92D;E996;E9C9;EA38,bit_mutation:17,bit:17,#$04;#$08;#$10;#$80;#$40;#$20;#$02;#$01,0,0,LA38A;LA38F;LA3DB;LA3E0;LA4B0;LA4E6;LDE3A;LDE50;LDE56;LDF4D;LDFBE;LDFCA;LE006;LE905;LE984;LE99E;LEA2A,,mode_flag_or_safety_gate:17,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
