module,submodule,input_name,input_role,source_symbol,source_address,calibration_section,calibration_address_range,module_candidate,minimal_os_relevance,required_for_first_minimal_os,hardware_contract_dependency,bench_dependency,excluded_reason,confidence,notes
spark,sensor_inputs,RPM / engine speed,sensor,RPM/ref-derived state,source-derived,CAL_4166/CAL_428A/CAL_44BF candidates,$4166-$44CF,spark,bench_gated,required,SPARK_TIMEBASE_PERIOD_CONTRACT.md; SPARK_BYPASS_EST_TRANSITION.md,RPM source and DRP period unit still bench/source-gated,,high_planning,Required before any base spark lookup or degree-to-time conversion.
spark,sensor_inputs,MAP / load,sensor,MAP/load state,source-derived,CAL_449D/CAL_44AE/CAL_485D candidates,$449D-$44BE,spark,bench_gated,required,SPARK_CONVERSION_EQUATION.md,MAP table axes and load mode still need source linkage per table,,medium_planning,Required for load-indexed base spark and modifiers.
spark,sensor_inputs,TPS / throttle state,sensor,TPS state,source-derived,sensor_scaling sections,various,sensor_scaling,likely_required,likely_required,SPARK_BYPASS_EST_TRANSITION.md,TPS role in idle/PE/transient modifiers is source-gated,,medium_planning,"Useful for idle, transient, and authority gating but not enough to permit writer."
spark,sensor_inputs,coolant temperature,sensor,CTS/coolant state,source-derived,CAL_452D/CAL_4537/CAL_4541/CAL_46E4 candidates,$452D-$46F8,spark,bench_gated,likely_required,SPARK_CONVERSION_EQUATION.md,coolant correction units and sign need table-specific source proof,,medium_planning,Needed for startup/coolant spark correction.
spark,sensor_inputs,baro / altitude basis,sensor,BARO state,source-derived,sensor_scaling/spark MAP/baro sections,various,sensor_scaling,likely_required,likely_required,SPARK_CONVERSION_EQUATION.md,baro load effect must be traced before use,,medium_planning,Altitude/load correction input; do not inherit full GM baggage blindly.
spark,mode_gates,crank/run state,mode_gate,L004F bit7; L004F bit4 candidates,0x004F,none,none,unknown,unknown,required,SPARK_BYPASS_EST_TRANSITION.md,run qualification and transition behavior bench-gated,,high_static,Required so spark logic does not use run timing during crank/bypass.
spark,mode_gates,bypass/EST authority state,mode_gate,L0044 bit3; L004F bit6; L0210; L4133; L4142 candidates,0x0044/0x004F/0x0210/cal,none,none,unknown,bench_gated,required,SPARK_BYPASS_EST_TRANSITION.md,physical EST/bypass authority trigger is bench-gated,,high_static,"Input boundary only; no physical EST control code."
spark,timebase,reference/DRP period basis,timebase,L005F/L0060,0x005F/0x0060,none,none,unknown,bench_gated,required,SPARK_TIMEBASE_PERIOD_CONTRACT.md; MATH_HELPER_LF550.md,physical unit and update cadence bench-gated,,high_static,Required for converting desired degrees into timing-domain units.
spark,calibration,desired base spark table,calibration,table lookup output to spark accumulator,source-derived,CAL_4166; CAL_428A; CAL_44BF candidates,$4166-$44CF,spark,bench_gated,required,SPARK_CONVERSION_EQUATION.md,exact table axes and final accumulator path still source-gated,,medium_planning,"Primary timing intent source; still planning-only."
spark,calibration,startup spark,calibration,startup/crank spark correction state,source-derived,CAL_452D/CAL_4537 candidates,$452D-$4540,spark,bench_gated,likely_required,SPARK_BYPASS_EST_TRANSITION.md; SPARK_INIT_STATE.md,crank/run transition and bypass authority bench-gated,,medium_planning,Needed before clean crank/start timing behavior can be defined.
spark,calibration,idle spark modifier,calibration,idle/speed correction state,source-derived,CAL_44F1..CAL_451A candidates,$44F1-$451A,iac_idle,bench_gated,optional_initially,SPARK_CONVERSION_EQUATION.md,idle torque/spark correction behavior source-gated,,low_medium_planning,"Optional for first fixed/open-loop spark; likely needed for stable idle later."
spark,calibration,coolant spark modifier,calibration,coolant correction,source-derived,CAL_452D..CAL_454A; CAL_46E4,$452D-$46F8,spark,bench_gated,likely_required,SPARK_CONVERSION_EQUATION.md,units/sign/priority require source proof,,medium_planning,Coolant-based spark intent input.
spark,calibration,MAP/RPM spark modifiers,calibration,MAP/RPM correction,source-derived,CAL_449D..CAL_44BE; CAL_4585..CAL_4593,$449D-$4593,spark,bench_gated,likely_required,SPARK_CONVERSION_EQUATION.md,axis/combination rules require source proof,,medium_planning,Load/RPM modifiers to final desired spark.
spark,retard,knock retard input,retard_source,knock/retard state,source-derived,spark/knock candidates,unknown,spark,bench_gated,bench_gated,SPARK_EST_FAULT_MONITOR_CONTRACT.md,knock-retard hardware behavior and side effects are bench/source-gated,,low_medium_planning,Represented but not required for first no-knock minimal spark.
spark,retard,burst knock / transient retard input,retard_source,burst/transient retard state,source-derived,unknown,unknown,unknown,unknown,optional_initially,SPARK_CONVERSION_EQUATION.md,source path not classified,,low_planning,"Keep as unresolved refinement, not required."
spark,retard,low-octane or learned retard input,retard_source,learned retard state,source-derived,low-octane spark candidates,unknown,spark,bench_gated,optional_initially,SPARK_CONVERSION_EQUATION.md,learning/retard source not required for first static spark module,,low_medium_planning,Optional initially; do not promote without source path.
spark,latency,spark latency correction,latency,L0201,0x0201,CAL_454B usec RPM candidate,$454B-$4557,spark_latency,bench_gated,required,SPARK_CONVERSION_EQUATION.md; SPARK_LA906_TIMING_BRIDGE.md,L0201 unit/final postprocess bench-gated,,high_static,Required by known conversion path before ASIC handoff is safe.
spark,latency,battery/voltage latency if present,latency,battery/voltage correction candidate,source-derived,battery_voltage candidates,various,battery_voltage,likely_required,bench_gated,SPARK_CONVERSION_EQUATION.md,battery-to-latency coupling not proven,,low_medium_planning,Represent but do not require until source ties voltage to spark latency.
spark,scale,spark magnitude scale,output_scale,degree scale / LF550 input,source-derived,none,none,unknown,bench_gated,required,SPARK_MAGNITUDE_SCALE_CONTRACT.md; MATH_HELPER_LF550.md,final scale/rounding bench/source-gated,,high_static,Required for degree-domain to timing-domain path.
spark,conversion,degree-to-time conversion dependency,output_scale,L01EE; L004F bit0; L005F/L0060; L0201; L3FC0/L3FC1,mixed,none,none,unknown,bench_gated,required,SPARK_CONVERSION_EQUATION.md,final sign/packing behavior bench-gated,,high_static,"Defines inputs to conversion, not writer implementation."
spark,rolling_state,rolling timing state seed,rolling_state,L3FF6; L3FDC; L01EC,0x3FF6/0x3FDC/0x01EC,none,none,unknown,bench_gated,required,SPARK_ROLLING_STATE_MODEL.md; SPARK_INIT_STATE.md,$3FF6/$3FDC first-event seed behavior bench-gated,,high_static,"Required before handoff can be safe; no direct writer yet."
spark,diagnostic,EST fault monitor state,safety_gate,L004F bit6; L0205; L022C; L0044 bit7,mixed,none,none,unknown,bench_gated,bench_gated,SPARK_EST_FAULT_MONITOR_CONTRACT.md,monitor side effects not proven,,high_static,Optional/diagnostic unless bench proves authority or fallback side effects.
spark,safety,spark enable / dropout safe state,safety_gate,REF/DRP validity; L0044 bit3; run state,mixed,none,none,unknown,bench_gated,required,SPARK_DROPOUT_SAFE_STATE in source/minimal_os/spark/README.md,dropout/missing-ref behavior bench-gated,,high_static,Required to avoid commanding timing on invalid period/reference state.
spark,excluded,transmission torque-management spark,excluded,transmission/torque management tables,calibration,trans_excluded sections,various,trans_excluded,excluded,excluded,none,none,transmission strategy excluded unless hardware contract proves requirement,high_policy,Do not pull trans retard into minimal spark.
spark,excluded,EGR spark correction,excluded,EGR spark correction tables,calibration,CAL_485F/CAL_4860 and EGR sections,$46F9-$48F6,egr_excluded,excluded,excluded,none,none,EGR/emissions strategy excluded,high_policy,EGR spark correction remains excluded even when spark keyword appears.
spark,excluded,EVAP/emissions spark modifiers,excluded,EVAP/emissions tables,calibration,evap_excluded/emissions sections,various,evap_excluded,excluded,excluded,none,none,EVAP/emissions strategy excluded,high_policy,No emissions-only spark modifier migration.
spark,unknown,unresolved spark inputs,unknown,unknown,unknown,unknown rows from calibration index,unknown,unknown,unknown,unknown,SPARK_MINIMAL_MODULE_BOUNDARY.md,requires future source trace,,low_unclassified,Unknowns stay listed and are not guessed or promoted.
