pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x7150,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"LDD $2E,X",R,0x302E,ALDL,ALDL_SCI,YES,MEDIUM,16,,memory,X=0x3000,L7100,mainline/unknown,0xFC2C,SCI,"SCSR SCI status | SCSR, GET SCI STATUS & RX BYTE | indexed_resolved",high
0x7154,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAB $2D,X",W,0x302D,ALDL,ALDL_SCI,YES,HIGH,8,,B=0x26,X=0x3000,L7100,mainline/unknown,0xFC2C,SCI,SCCR2 SCI control 2 | SCI CNT'L REG #2 | indexed_resolved,high
0x7A2A,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BSET L0044,#$04",RMW,0x0044,DIRECT_RAM,ALDL_SCI,YES,HIGH,bit,0x04,set 0x04,,L7989,TOC3/6.25ms major-loop interrupt,0x7A81,ALDL,"SET b2, SKIP ERR 43 DUE TO ALDL",high
0x86DE,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,INC L0275,RMW,0x0275,DIRECT_RAM,ALDL_SCI,YES,HIGH,8,,INC,,L863D,mainline/unknown,0x8530,ALDL,ALDL RICH LEAN CHAGE COUNTER (X Counts),high
0xAC38,BMHM_$31_main_window_ORG_0x9C96,source_listing_no_bytes,"BRSET L0044,#$04,LAC41",R,0x0044,DIRECT_RAM,ALDL_SCI,YES,MEDIUM,bit,0x04,bit test 0x04,,LA906,mainline/unknown,0xA8B4,ALDL|SPARK_CALC,"BR IF b2, SKIP ERR 43 DUE TO ALDL",high
0xAC4C,BMHM_$31_main_window_ORG_0x9C96,source_listing_no_bytes,"BSET L0044,#$04",RMW,0x0044,DIRECT_RAM,ALDL_SCI,YES,HIGH,bit,0x04,set 0x04,,LA906,mainline/unknown,0xA8B4,ALDL|SPARK_CALC,"SET b2, SKIP ERR 43 DUE TO ALDL",high
0xCC81,BMHM_$31_main_window_ORG_0x9C96,source_listing_no_bytes,"STAA $2C,X",W,0x302C,ALDL,ALDL_SCI,YES,HIGH,8,,A=0x00,X=0x3000,LCC7C,mainline/unknown,0x711C,,SCCR1 SCI control 1 | indexed_resolved,high
0xCC9F,BMHM_$31_main_window_ORG_0x9C96,source_listing_no_bytes,"STAA $002B,X",W,0x302B,ALDL,ALDL_SCI,YES,HIGH,8,,A=0x04,X=0x3000,LCC7C,mainline/unknown,0x711C,,BAUD SCI baud | indexed_resolved,high
0xE00D,BMHM_$31_main_window_ORG_0xDBFB,source_listing_no_bytes,"BRSET L0044,#$04,LE041",R,0x0044,DIRECT_RAM,ALDL_SCI,YES,MEDIUM,bit,0x04,bit test 0x04,,LDF54,mainline/unknown,0xDE64,ALDL,"BR IF b2, SKIP ERR 43 DUE TO ALDL",high
0xF5E8,BMHM_$31_main_window_ORG_0xF161,source_listing_no_bytes,LDAA L0042,R,0x0042,DIRECT_RAM,ALDL_SCI,YES,MEDIUM,8,,memory,,LF5E8,mainline/unknown,0x7A05,ALDL,ALDL MD WD,high
0xF608,BMHM_$31_main_window_ORG_0xF161,source_listing_no_bytes,LDAB L302E,R,0x302E,ALDL,ALDL_SCI,YES,MEDIUM,8,,memory,,LF5E8,mainline/unknown,0x7A05,SCI,SCSR SCI status | GET SCI STATUS,high
0xF60B,BMHM_$31_main_window_ORG_0xF161,source_listing_no_bytes,STAA L302F,W,0x302F,ALDL,ALDL_SCI,YES,HIGH,8,,A,,LF5E8,mainline/unknown,0x7A05,,SCDR SCI data | TX 8192 DATA,high
0xF645,BMHM_$31_main_window_ORG_0xF161,source_listing_no_bytes,STAA L302D,W,0x302D,ALDL,ALDL_SCI,YES,HIGH,8,,A=0x88,,LF5E8,mainline/unknown,0x7A05,SCI,SCCR2 SCI control 2 | SCI CNT'L REG #2,high
