proof_id,proof_group,contract_dependency,state_or_signal,source_symbol,hardware_address,physical_pin_or_probe,forced_condition,expected_observation,pass_condition,fail_condition,required_tooling,aldl_debug_required,scope_required,bench_hook_required,implementation_gate,confidence,notes
FUEL-001,fuel_pw_output,EFI_PW_3FCE_CONTRACT.md; EFI_PW_UNITS.md; MINIMAL_EFI_PW_WRITER.md,EFI PW command counts,L3FCE/L3FCF,$3FCE/$3FCF,injector driver pulse width / $3FCE ALDL raw,command fixed known PW count vector,$3FCE raw counts match requested command and observed injector pulse width,ALDL/debug raw counts and scope pulse width agree within defined tolerance,"raw counts change without matching pulse width, or pulse width changes without matching counts",scope/logic analyzer; ALDL/debug map; fixed PW test vector,yes,yes,maybe,fuel-only runnable slice blocked until FUEL-001 through FUEL-004 pass,high_static_bench_pending,Primary proof that $3FCE maps to injector pulsewidth.
FUEL-002,fuel_pw_output,EFI_PW_UNITS.md; MINIMAL_EFI_PW_WRITER.md,3.0 ms PW vector,D=$00C5,$3FCE,injector driver pulse width,force D=$00C5 with fuel enabled and safe bench load,scope sees about 3.006 ms pulse,$00C5 produces approximately 3.006 ms because 197/65.536=3.006 ms,observed pulse width inconsistent with 1/65536 second units,scope/logic analyzer; bench injector load or simulator; ALDL/debug,yes,yes,maybe,fuel-only runnable slice blocked until FUEL-001 through FUEL-004 pass,high_static_bench_pending,Known vector for EFI PW unit proof.
FUEL-003,fuel_pw_output,FUEL_MINIMAL_MODULE_INPUTS.md; MINIMAL_OS_BOOT_SAFE_STATE.md,fuel no-pulse / zero gate,minimal_fuel_enable; minimal_dfco_zero_gate; L3FCE/L3FCF,$3FCE,injector driver pulse absent,force no-fuel or DFCO gate active,$3FCE = 0 and no injector pulse,no-fuel/DFCO gate forces zero output,nonzero $3FCE or injector pulse while no-fuel gate active,ALDL/debug; scope/logic analyzer,yes,yes,maybe,fuel-only runnable slice blocked until FUEL-001 through FUEL-004 pass,high_planning,Proves safe zero gate.
FUEL-004,dropout_safe_state,MINIMAL_OS_BOOT_SAFE_STATE.md; MINIMAL_OS_EXECUTION_SCHEDULER.md; EFI_PW_3FCE_CONTRACT.md,dropout fuel safe state,minimal_dropout_state; L3FCE/L3FCF,$3FCE,injector driver pulse absent,simulate missing REF/DRP or unsafe runtime state,"dropout asserted, $3FCE = 0, no injector pulse",dropout/unsafe state forces fuel no-pulse,nonzero $3FCE or injector pulse during dropout,REF/DRP simulator; ALDL/debug; scope,yes,yes,maybe,fuel-only runnable slice blocked until FUEL-001 through FUEL-004 pass,high_planning,Proves fuel output remains safe on signal loss.
FUEL-005,aldl_debug_visibility,MINIMAL_OS_ALDL_DEBUG_MAP.md; FUEL_MINIMAL_MODULE_INPUTS.md,low-PW transfer observability,minimal_low_pw_tf_state; L024E; L0250; L3FCE/L3FCF,$3FCE,ALDL/debug low-PW transfer values,run low-PW transfer test vector sequence,"input PW, corrected PW, and final $3FCE are observable",ALDL/debug exposes enough state to validate low-PW transfer curve,low-PW correction cannot be reconstructed from debug stream,ALDL/debug logging; scripted PW vector sweep,yes,maybe,yes,low-PW correction implementation blocked until observable,medium_planning,"Does not validate correction accuracy by itself; validates observability."
SPARK-001,spark_handoff,SPARK_ASIC_HANDOFF_CONTRACT.md; MINIMAL_OS_ALDL_DEBUG_MAP.md,spark ASIC handoff candidates,L3FE8/L3FE6,$3FE8/$3FE6,"ALDL/debug only; no write authority",observe stock/source-side candidate values over events,$3FE8/$3FE6 candidates are visible without any minimal writer,candidate values can be logged and correlated to timing events,candidate values absent or treated as implementation-ready without proof,ALDL/debug; source trace; optional logic analyzer,yes,maybe,yes,no spark writer until SPARK-001 through SPARK-006 are resolved or replaced by safer strategy,high_policy,"Observation only; debug exposure does not permit writes."
SPARK-002,spark_handoff,SPARK_CONVERSION_EQUATION.md; SPARK_MINIMAL_MODULE_INPUTS.md,spark intent and conversion path,L01FD; L01EE; L004F bit0,none,ALDL/debug spark state,run known RPM/MAP spark table points or simulated event stream,"desired spark, L01FD, L01EE, and sign flag correlate coherently",spark accumulator/offset/sign path can be reconstructed,values do not correlate or sign behavior is inconsistent,ALDL/debug; scripted operating points,yes,no,yes,spark conversion implementation blocked until correlation proven,high_static,"Proves source conversion state, not hardware authority."
SPARK-003,spark_handoff,SPARK_TIMEBASE_PERIOD_CONTRACT.md; MINIMAL_OS_EXECUTION_SCHEDULER.md,DRP/ref period basis,L005F/L0060,none,REF/DRP input and ALDL/debug period,feed known REF/DRP periods,L005F/L0060 follows REF/DRP period and derived RPM,period basis matches known input within tolerance,"period basis drifts, aliases, or cannot be correlated",REF/DRP simulator; ALDL/debug; logic analyzer,yes,yes,maybe,spark and fuel RPM/timebase use blocked until period proof,high_static,Period basis feeds spark conversion and RPM display.
SPARK-004,spark_rolling_state,SPARK_ROLLING_STATE_MODEL.md; SPARK_INIT_STATE.md,rolling timing state,L3FDC; L3FF6,$3FDC/$3FF6,ALDL/debug and optional ASIC observation,"capture across reset, first REF/DRP, crank, and run event sequences",rolling state evolves deterministically across events,rolling state seed/anchor behavior classifiable,state jumps unpredictably or cannot be correlated,ALDL/debug; REF/DRP simulator; optional logic analyzer,yes,maybe,yes,no spark rolling-state writer until SPARK-004 pass,high_static,Bench-gated rolling state proof.
SPARK-005,spark_rolling_state,SPARK_EST_FAULT_MONITOR_CONTRACT.md; SPARK_ASIC_HANDOFF_CONTRACT.md,status/mirror/ack path,L3FEC -> L3FE4,$3FEC/$3FE4,ALDL/debug and optional ASIC status probe,observe across spark events and EST monitor states,$3FEC->$3FE4 behavior is visible and classifiable,mirror/ack path role is classified or marked unused,status behavior remains ambiguous but treated as required,ALDL/debug; source trace; optional logic analyzer,yes,maybe,yes,no spark writer until mirror/ack requirement resolved,medium_static,"Do not promote mirror/ack behavior without proof."
