semantic_id,class,units,editable,owner
TPS_FILTER_TIME_CONSTANT,advanced,ms,yes,signal_conditioning
TPS_RATE_FILTER_TIME_CONSTANT,advanced,ms,yes,signal_conditioning
MAP_FILTER_TIME_CONSTANT,advanced,ms,yes,signal_conditioning
MAP_RATE_FILTER_TIME_CONSTANT,advanced,ms,yes,signal_conditioning
CTS_FILTER_TIME_CONSTANT,advanced,ms,yes,signal_conditioning
MAT_FILTER_TIME_CONSTANT,advanced,ms,yes,signal_conditioning
BATTERY_FILTER_TIME_CONSTANT,advanced,ms,yes,signal_conditioning
ANALOG_SPIKE_CONFIRM_COUNT,advanced,samples,yes,signal_conditioning
DIGITAL_ASSERT_CONFIRM_TIME,advanced,ms,yes,signal_conditioning
DIGITAL_RELEASE_CONFIRM_TIME,advanced,ms,yes,signal_conditioning
