semantic_id,category,label,class,shape,units,owner,exposure,intended_effect,explicit_non_effects
SIG_TPS_FILTER_TC,Signal Conditioning,TPS position filter time constant,ADVANCED,scalar,ms,signal_conditioning,XDF,"sets TPS position smoothing bandwidth","does not recalibrate TPS transfer"
SIG_TPS_RATE_FILTER_TC,Signal Conditioning,TPS rate filter time constant,ADVANCED,scalar,ms,signal_conditioning,XDF,"sets smoothing of derived throttle rate","does not change Alpha-N or AE gain"
SIG_TPS_SPIKE_LIMIT,Signal Conditioning,TPS single-sample spike limit,DEVELOPER,scalar,V,signal_conditioning,XDF,"sets electrical step requiring confirmation before acceptance","must remain loose enough for real throttle transients"
SIG_MAP_FILTER_TC,Signal Conditioning,MAP steady filter time constant,ADVANCED,scalar,ms,signal_conditioning,XDF,"sets steady MAP smoothing bandwidth","does not alter MAP sensor transfer"
SIG_MAP_RATE_FILTER_TC,Signal Conditioning,MAP rate filter time constant,ADVANCED,scalar,ms,signal_conditioning,XDF,"sets smoothing of fast MAP-rate path","does not alter speed-density VE"
SIG_MAP_SPIKE_LIMIT,Signal Conditioning,MAP single-sample spike limit,DEVELOPER,scalar,V,signal_conditioning,XDF,"sets electrical step requiring confirmation before acceptance","must not suppress genuine pressure transients"
SIG_CTS_FILTER_TC,Signal Conditioning,CTS filter time constant,ADVANCED,scalar,ms,signal_conditioning,XDF,"sets coolant-temperature smoothing bandwidth","does not change CTS transfer or warmup fuel table"
SIG_CTS_SPIKE_LIMIT,Signal Conditioning,CTS single-sample spike limit,DEVELOPER,scalar,V,signal_conditioning,XDF,"rejects isolated electrical glitches","does not define valid temperature range"
SIG_MAT_FILTER_TC,Signal Conditioning,MAT filter time constant,ADVANCED,scalar,ms,signal_conditioning,XDF,"sets inlet-temperature smoothing bandwidth","does not change MAT transfer or correction tables"
SIG_MAT_SPIKE_LIMIT,Signal Conditioning,MAT single-sample spike limit,DEVELOPER,scalar,V,signal_conditioning,XDF,"rejects isolated electrical glitches","does not define MAT validity"
SIG_BATTERY_FILTER_TC,Signal Conditioning,Battery filter time constant,ADVANCED,scalar,ms,signal_conditioning,XDF,"sets normal battery-voltage smoothing bandwidth","does not delay dedicated key-off qualification path"
SIG_BATTERY_SPIKE_LIMIT,Signal Conditioning,Battery single-sample spike limit,DEVELOPER,scalar,V,signal_conditioning,XDF,"rejects isolated supply-channel glitches","does not set low-voltage or key-off thresholds"
SIG_NB_FILTER_TC,Signal Conditioning,Narrowband input filter time constant,DEVELOPER,scalar,ms,signal_conditioning,XDF,"limits electrical noise while preserving switching dynamics","does not alter NB rich/lean threshold or controller gain"
SIG_WB_FILTER_TC,Signal Conditioning,Wideband input filter time constant,ADVANCED,scalar,ms,signal_conditioning,XDF,"limits controller-output noise while retaining lambda dynamics","does not alter WB voltage/lambda transfer or feedback gains"
SIG_REF_MIN_EDGE_SPACING,Signal Conditioning,Minimum accepted REF edge spacing,DEVELOPER,scalar,us,rotation_reference,XDF,"rejects physically impossible extra REF edges","does not delay accepted REF edges"
SIG_REF_PERIOD_CHANGE_LIMIT,Signal Conditioning,REF period plausibility limit,DEVELOPER,scalar,percent,rotation_reference,XDF,"flags/rejects impossible one-event period jumps according to final REF acceptance policy","does not low-pass crank-angle edge timestamps"
