semantic_id,category,label,class,shape,units,owner,exposure,intended_effect,explicit_non_effects
IDLE_STARTUP_RPM_OFFSET,Idle Startup,Startup RPM offset,PRIMARY_TUNE,1D,CTS_to_rpm,idle_controller,XDF,"sets temporary post-start target-RPM increase","does not add startup airflow directly"
IDLE_STARTUP_RPM_TAU,Idle Startup,Startup RPM decay time,ADVANCED,1D,CTS_to_s,idle_controller,XDF,"sets decay of startup RPM offset","does not change startup-air decay"
IDLE_STARTUP_AIR,Idle Startup,Startup IAC air,PRIMARY_TUNE,1D,CTS_to_counts,idle_controller,XDF,"sets temporary post-start bypass-air addition","does not change target RPM"
IDLE_STARTUP_AIR_TAU,Idle Startup,Startup air decay time,ADVANCED,1D,CTS_to_s,idle_controller,XDF,"sets decay of startup-air addition","does not change afterstart fuel decay"
IDLE_IAC_OPEN_RATE,Idle Limits,IAC opening slew rate,ADVANCED,scalar,counts_per_s,idle_controller,XDF,"limits desired IAC opening rate","does not change PI authority"
IDLE_IAC_CLOSE_RATE,Idle Limits,IAC closing slew rate,ADVANCED,scalar,counts_per_s,idle_controller,XDF,"limits desired IAC closing rate","does not change follower decay"
IDLE_FOLLOWER_SEED,Idle Follower,Follower seed,PRIMARY_TUNE,2D,RPM_x_TPSchange_counts,idle_controller,XDF,"sets dashpot airflow seeded on throttle close","does not alter base IAC position"
IDLE_FOLLOWER_DECAY,Idle Follower,Follower decay,PRIMARY_TUNE,scalar,counts_per_s,idle_controller,XDF,"sets dashpot return rate","does not change startup-air decay"
IDLE_STALL_SAVE_GAIN,Idle Recovery,Stall-save gain,ADVANCED,scalar,counts_per_rpm,idle_controller,XDF,"sets additional IAC response to stall deficit","does not alter normal PI gain"
IDLE_STALL_SAVE_MAX,Idle Recovery,Stall-save maximum,ADVANCED,scalar,counts,idle_controller,XDF,"bounds stall-save airflow addition","does not set IAC maximum position"
LC_IDLE_TPS_ENTER,Lifecycle Idle,Idle TPS entry,PRIMARY_TUNE,scalar,percent,lifecycle_manager,XDF,"sets throttle threshold for idle entry","does not calibrate TPS sensor"
LC_IDLE_TPS_EXIT,Lifecycle Idle,Idle TPS exit,ADVANCED,scalar,percent,lifecycle_manager,XDF,"sets throttle hysteresis exit threshold","does not set DFCO TPS threshold"
LC_IDLE_RPM_ENTER_MAX,Lifecycle Idle,Idle entry RPM ceiling,PRIMARY_TUNE,scalar,rpm,lifecycle_manager,XDF,"sets maximum RPM allowed for idle entry","does not set target idle RPM"
LC_IDLE_RPM_EXIT_MAX,Lifecycle Idle,Idle exit RPM ceiling,ADVANCED,scalar,rpm,lifecycle_manager,XDF,"sets RPM hysteresis exit threshold","does not set stall-save RPM"
LC_IDLE_ENTRY_DELAY,Lifecycle Idle,Idle entry delay,PRIMARY_TUNE,scalar,ms,lifecycle_manager,XDF,"sets time idle conditions must persist before control activates","does not alter follower decay"
