section_index,section_name,section_title,start_address,end_address,record_count,fcb_count,fdb_count,data_width,raw_label,raw_comment,module_candidate,submodule_candidate,minimal_os_relevance,excluded_reason,source_confidence,needs_hardware_contract,notes
1,CAL_$4000,EPROM ID,$4000,$4035,47,40,7,mixed_fcb_fdb,L4000,EPROM ID,evap_excluded,evap,excluded,EVAP/purge strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
2,CAL_$4036,%DC gm/sec AIRFLOW,$4036,$4046,17,17,0,8_bit_fcb,L4036,%DC gm/sec AIRFLOW,evap_excluded,evap,excluded,EVAP/purge strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
3,CAL_$4047,%D.C. gm/sec AIRFLOW,$4047,$4076,48,48,0,8_bit_fcb,L4047,%D.C. gm/sec AIRFLOW,evap_excluded,evap,excluded,EVAP/purge strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
4,CAL_$4077,% COEF gm/sec AIR FLOW,$4077,$4087,17,17,0,8_bit_fcb,L4077,% COEF gm/sec AIR FLOW,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
5,CAL_$4088,Deg c A/F RATIO,$4088,$408E,7,7,0,8_bit_fcb,L4088,Deg c A/F RATIO,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
6,CAL_$408F,L408D FCB 128 ; 0 14.7 | L408E FCB 128 ; 0 15.5 | RPM REACTI,$408F,$4165,206,197,9,mixed_fcb_fdb,L408F,L408D FCB 128 ; 0 14.7 | L408E FCB 128 ; 0 15.5 | RPM REACTION TEMP CO,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
7,CAL_$4166,ends @ $4289,$4166,$4289,292,292,0,8_bit_fcb,L4166,ends @ $4289,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
8,CAL_$428A,ends @ 43AD,$428A,$43AE,293,293,0,8_bit_fcb,L428A,ends @ 43AD,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
9,CAL_$43AF,ends @ 4438,$43AF,$4439,139,139,0,8_bit_fcb,L43AF,ends @ 4438,warmup_afterstart,warmup/afterstart module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
10,CAL_$443A,ends @ 448F,$443A,$449C,99,99,0,8_bit_fcb,L443A,ends @ 448F,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
11,CAL_$449D,% MULT Kpa MAP,$449D,$44AD,17,17,0,8_bit_fcb,L449D,% MULT Kpa MAP,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
12,CAL_$44AE,% MULT Kpa MAP,$44AE,$44BE,17,17,0,8_bit_fcb,L44AE,% MULT Kpa MAP,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
13,CAL_$44BF,Deg SPK RPM,$44BF,$44CF,17,17,0,8_bit_fcb,L44BF,Deg SPK RPM,spark,spark math/output support,bench_gated,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
14,CAL_$44D0,sec's FLOW (BIN),$44D0,$44D4,5,5,0,8_bit_fcb,L44D0,sec's FLOW (BIN),spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
