semantic_id,category,label,class,shape,units,owner,exposure,intended_effect,explicit_non_effects
CFG_ADC_REFERENCE_V,Hardware Setup,ADC reference voltage,SETUP,scalar,V,adc_electrical_conversion,XDF,"defines characterized volts-per-count scaling","does not tune any sensor or engine behavior"
CFG_MAT_ENABLED,Sensor Setup,MAT/IAT installed,SETUP,scalar,bool,sensor_configuration,XDF,"enables optional added MAT input","disabled is not a sensor fault"
CFG_NB_ENABLED,Sensor Setup,Narrowband O2 installed,SETUP,scalar,bool,sensor_configuration,XDF,"declares NB sensor physically available","does not select feedback mode by itself"
CFG_WB_ENABLED,Sensor Setup,Wideband analog input installed,SETUP,scalar,bool,sensor_configuration,XDF,"declares WB controller input physically available","does not select feedback mode by itself"
CFG_KNOCK_ENABLED,Sensor Setup,Knock sensing installed,SETUP,scalar,bool,sensor_configuration,XDF,"declares knock path physically available","does not set knock sensitivity"
SENS_TPS_TRANSFER,Sensor Transfer,TPS voltage transfer,SETUP,1D,V_to_percent,sensor_transfer,XDF,"converts TPS voltage to throttle percent","does not set idle or PE thresholds"
SENS_MAP_TRANSFER,Sensor Transfer,MAP voltage transfer,SETUP,1D,V_to_kPa_abs,sensor_transfer,XDF,"converts MAP voltage to absolute pressure","does not tune VE or load thresholds"
SENS_MAT_TRANSFER,Sensor Transfer,MAT voltage transfer,SETUP,1D,V_to_degC,sensor_transfer,XDF,"converts optional MAT voltage to temperature","does not tune MAT spark or density correction"
SENS_CTS_TRANSFER,Sensor Transfer,CTS voltage transfer,SETUP,1D,V_to_degC,sensor_transfer,XDF,"converts CTS voltage to coolant temperature","does not tune warmup enrichment"
SENS_WB_TRANSFER,Sensor Transfer,Wideband voltage transfer,SETUP,1D,V_to_lambda,sensor_transfer,XDF,"converts controller voltage to measured lambda","does not change lambda target or feedback gain"
SENS_BATTERY_TRANSFER,Sensor Transfer,Battery input transfer,SETUP,1D,inputV_to_vehicleV,sensor_transfer,XDF,"converts ADC input voltage to vehicle supply voltage","does not tune key-off threshold"
SENS_MAT_FALLBACK,Sensor Fallback,MAT fallback temperature,ADVANCED,scalar,degC,sensor_validation,XDF,"provides bounded control temperature when MAT unavailable or invalid","does not masquerade as a valid MAT measurement"
SENS_CTS_FALLBACK,Sensor Fallback,CTS fallback temperature,ADVANCED,scalar,degC,sensor_validation,XDF,"provides bounded control temperature when CTS invalid","does not clear CTS invalid state"
SENS_BATTERY_FALLBACK,Sensor Fallback,Battery fallback voltage,ADVANCED,scalar,V,sensor_validation,XDF,"provides bounded voltage for calculations such as deadtime if battery measurement invalid","does not assert key-off"
CFG_REF_EVENTS_PER_CRANK_REV,Engine Rotation Setup,REF events per crank revolution,SETUP,scalar,events_per_rev,rotation_reference,XDF,"defines reference pulse geometry and RPM scale","does not change cylinder count or desired spark advance"
CFG_REF_TO_EVENT_TDC_OFFSET,Engine Rotation Setup,REF to event TDC offset,SETUP,scalar,crank_deg_signed,rotation_reference,XDF,"aligns accepted REF edge coordinate to true event TDC","does not mechanically change rotor phasing or retune spark table"
DER_REF_EVENTS_PER_CYCLE,Engine Rotation Setup,REF events per engine cycle,DERIVED,scalar,events_per_720deg,rotation_reference,ADX_ONLY,"reports two times configured REF events per crank revolution","not independently editable"
DER_REF_EVENT_SPACING,Engine Rotation Setup,REF event spacing,DERIVED,scalar,crank_deg,rotation_reference,ADX_ONLY,"reports 360 divided by REF events per crank revolution","not independently editable"
DER_COMBUSTION_EVENT_SPACING,Engine Rotation Setup,Combustion event spacing,DERIVED,scalar,crank_deg,rotation_reference,ADX_ONLY,"reports 720 divided by cylinder count","not independently editable"
DER_REF_EVENTS_PER_COMBUSTION_EVENT,Engine Rotation Setup,REF events per combustion event,DERIVED,scalar,ratio,rotation_reference,ADX_ONLY,"reports REF event-cycle count divided by cylinder count","unsupported scheduling ratios are configuration errors"
CFG_FUEL_EVENTS_PER_ENGINE_CYCLE,Fuel Delivery Setup,Fuel delivery events per engine cycle,SETUP,scalar,events_per_720deg,injector_model,XDF,"defines how requested cycle fuel is divided among delivery events","does not change total requested fuel mass"
CFG_ACTIVE_INJECTORS_PER_EVENT,Fuel Delivery Setup,Active injectors per delivery event,SETUP,scalar,count,injector_model,XDF,"defines how event fuel mass is divided across active injectors","does not change injector design flow"
