semantic_id,category,label,class,shape,units,owner,exposure,intended_effect,explicit_non_effects
SPK_MAIN_TABLE,Spark,Main spark table,PRIMARY_TUNE,2D,RPM_x_MAP_kPa_abs_degBTDC,spark_controller,XDF,"sets normal running base spark versus RPM and absolute MAP","does not set idle base spark or knock retard"
SPK_CRANK_CTS,Spark Startup,Crank spark vs CTS,PRIMARY_TUNE,1D,CTS_to_degBTDC,spark_controller,XDF,"sets dedicated cranking spark timing","does not alter normal run spark table"
SPK_IDLE_BASE_CTS,Spark Idle,Idle base spark vs CTS,PRIMARY_TUNE,1D,CTS_to_degBTDC,spark_controller,XDF,"sets steady idle base timing","does not reshape nearby main-table cells"
SPK_IDLE_BLEND_RATE,Spark Idle,Idle spark blend rate,ADVANCED,scalar,fraction_per_s,spark_controller,XDF,"sets transition speed between main and idle base timing","does not change idle spark feedback gain"
SPK_CTS_CORR,Spark Corrections,Coolant spark correction,PRIMARY_TUNE,1D,CTS_to_deg,spark_controller,XDF,"adds explicit coolant-temperature timing correction","does not alter MAT or knock correction"
SPK_MAT_CORR,Spark Corrections,Air temperature spark correction,PRIMARY_TUNE,1D,MAT_to_deg,spark_controller,XDF,"adds explicit inlet-air-temperature timing correction","does not alter CTS correction"
SPK_IDLE_KP,Spark Idle,Idle spark proportional gain,PRIMARY_TUNE,scalar,deg_per_rpm,idle_controller,XDF,"sets immediate timing response to idle RPM error","does not change IAC integral gain"
SPK_IDLE_KD,Spark Idle,Idle spark rate gain,ADVANCED,scalar,deg_per_rpm_rate,idle_controller,XDF,"adds fast damping from RPM rate","does not accumulate long-term correction"
SPK_IDLE_MIN,Spark Idle,Idle spark minimum correction,ADVANCED,scalar,deg,idle_controller,XDF,"bounds idle spark retard contribution","does not change base idle timing"
SPK_IDLE_MAX,Spark Idle,Idle spark maximum correction,ADVANCED,scalar,deg,idle_controller,XDF,"bounds idle spark advance contribution","does not change base idle timing"
SPK_KNOCK_THRESHOLD,Spark Knock,Knock activity threshold,ADVANCED,2D,RPM_x_MAP_kPa_abs_activity,knock_manager,XDF,"sets qualified knock threshold by operating region","does not change retard amount per event"
SPK_KNOCK_ADD,Spark Knock,Knock retard gain,PRIMARY_TUNE,scalar,deg_per_event,knock_manager,XDF,"sets retard added per qualified knock event/severity","does not change sensor transfer"
SPK_KNOCK_MAX,Spark Knock,Maximum knock retard,PRIMARY_TUNE,scalar,deg,knock_manager,XDF,"bounds total knock retard","does not alter main spark table"
SPK_KNOCK_RECOVERY,Spark Knock,Knock recovery rate,PRIMARY_TUNE,scalar,deg_per_s,knock_manager,XDF,"sets retard recovery toward zero","does not change knock detection threshold"
SPK_MIN_LIMIT,Spark Limits,Minimum final spark,DEVELOPER,scalar,degBTDC,spark_controller,XDF,"sets hard lower final timing bound","does not tune normal timing surface"
SPK_MAX_LIMIT,Spark Limits,Maximum final spark,DEVELOPER,scalar,degBTDC,spark_controller,XDF,"sets hard upper final timing bound","does not tune normal timing surface"
