condition,air_charge_policy,spark_load_policy,PE_policy,DFCO_policy,idle_policy,feedback_policy,notes
MAP_INVALID_TPS_VALID_BARO_VALID,"AIR_MODE_AN_FALLBACK; AIR_MASS_CYCLE from Alpha-N only","SPARK_LOAD_SOURCE=BARO; use captured BARO as conservative high-load spark index","TPS-based PE request may remain available; pressure-ratio PE request disabled","DFCO inhibited because MAP/pressure-ratio coast qualification unavailable","idle may remain available from TPS/RPM qualification","NB/WB feedback may operate if otherwise qualified","MAP remains invalid; fallback never masquerades as measured MAP"
MAP_INVALID_BARO_INVALID,"AIR_MODE_INVALID","spark normal-run request invalid","PE inhibited","DFCO inhibited","idle engine-control run not permitted without valid air model","feedback frozen","no fabricated MAP/BARO"
TPS_INVALID_MAP_VALID,"speed density only; Alpha-N and TPS transient authority disabled","normal MAP spark load","pressure-ratio PE may remain available; TPS PE disabled","DFCO inhibited unless a future non-TPS qualifier is explicitly added","idle qualification inhibited","feedback may operate if otherwise qualified","TPS invalid never means closed throttle"
MAT_INVALID,"use explicit MAT fallback control temperature; mark substituted","MAT correction uses conservative invalid-input policy","unchanged","unchanged","unchanged","unchanged","measurement remains invalid"
CTS_INVALID,"use explicit CTS fallback where module permits","CTS correction uses conservative invalid-input policy","unchanged","unchanged","idle/startup uses explicit CTS fallback","feedback eligibility uses invalid-CTS policy and cannot infer validity from fallback","measurement remains invalid"
BATTERY_INVALID,"air model unaffected","spark semantic model unaffected","unchanged","unchanged","unchanged","injector deadtime may use explicit battery fallback; key-off cannot be asserted from invalid battery measurement","battery substitution cannot trigger key-off"
NB_INVALID,"unchanged","unchanged","unchanged","unchanged","unchanged","NB contribution unavailable; DUAL may continue WB-only if WB qualified","invalid NB is not rich or lean"
WB_INVALID,"unchanged","unchanged","unchanged","unchanged","unchanged","WB_ONLY falls open-loop; DUAL may continue NB-only near stoich if NB qualified","invalid WB cannot continue integrating"
KNOCK_INVALID_WHEN_ENABLED,"unchanged","apply SPK_KNOCK_FAIL_RETARD through knock manager","unchanged","unchanged","unchanged","unchanged","invalid configured knock sensing is not equivalent to zero knock"
REF_INVALID_OR_STALE,"new event-synchronous air/fuel scheduling not trusted","new event-synchronous spark request invalid","PE state cleared/frozen by lifecycle","DFCO state cleared/frozen by lifecycle","idle control cannot produce production output without rotation validity","feedback frozen","no numerical REF/RPM substitution for production scheduling"
