boot_stage,state_name,trigger_source,module,submodule,state_seeded,input_required,output_default,hardware_write,hardware_address,allowed_now,bench_gated,forbidden_until,safe_value,dropout_value,source_contract_dependency,minimal_os_required,confidence,notes
reset_entry,RESET_ENTRY,power-on/reset vector,boot,entry,boot state = reset-entry,reset cause / watchdog cause / power state,all runtime control outputs inactive,no,none,planning_only,yes,BOOT_SAFE_STATE implementation pass,no runtime control outputs active,re-enter RESET_ENTRY or WATCHDOG_SAFE_STATE,MINIMAL_OS_EXECUTION_SCHEDULER.md; MINIMAL_OS_MODULE_BOUNDARY.md,yes,high_contract,Entry state only; no reset ASM is created.
asic_clear,ASIC_WINDOW_CLEAR,RESET_ENTRY,boot,asic_window,ASIC/window clear policy selected,hardware window map / init contract,candidate output/window safe clear,candidate,ASIC/window registers,no_runtime_code_yet,yes,exact reset writes and boot sequence are proven,safe/inactive output windows,safe/inactive output windows,EFI_OUTPUT_INIT_STATE.md; EFI_OUTPUT_INIT_ROUTINE.md; MINIMAL_OS_EXECUTION_SCHEDULER.md,yes,medium_static,"Documents dependency only; exact writes deferred to implementation/bench proof."
output_defaults,OUTPUT_SAFE_DEFAULTS,after ASIC/window clear,boot,safe_defaults,safe-output defaults selected,reset state; no valid REF/DRP yet,"fuel zero; spark no-authority intent; IAC hold/software-only",candidate,mixed,no_runtime_code_yet,yes,BOOT_SAFE_STATE implementation pass and hardware bench proof,all outputs safe/inactive,all outputs safe/inactive,MINIMAL_OS_EXECUTION_SCHEDULER.md,yes,high_contract,Top-level defaults before any runtime module is allowed to command hardware.
ram_seed,RAM_STATE_SEED,after output defaults,boot,ram_state,minimal runtime state seeded,known reset state; retained/NVM validity flags,software state initialized; hardware outputs unchanged,no,none,planning_only,yes,MINIMAL_OS_STATE_VARIABLES defines exact RAM map,known software defaults,known software defaults,MINIMAL_OS_MODULE_BOUNDARY.md; MINIMAL_OS_EXECUTION_SCHEDULER.md,yes,medium_contract,"Seeds software state only; no hardware writer."
fuel_zero,FUEL_SAFE_STATE,RESET_ENTRY / dropout / no-fuel gate,fuel,safe_zero,fuel enable/no-fuel state = disabled,no-fuel gate; valid PW intent absent,$3FCE zero/no-pulse intent,yes_provisional_via_contract,$3FCE,yes_provisional,yes,bench confirms $3FCE output behavior and units,$3FCE = 0 / no pulse,$3FCE = 0 / no pulse,EFI_PW_3FCE_CONTRACT.md; EFI_PW_UNITS.md; MINIMAL_EFI_PW_WRITER.md; FUEL_MINIMAL_MODULE_INPUTS.md,yes,high_static_bench_pending,$3FCE may only be written through EFI_PW_WRITE or documented init-clear path.
fuel_nonzero_block,FUEL_SAFE_STATE,before fuel enable/calculation,fuel,nonzero_block,nonzero fuel disabled,"valid sensors; crank/run; fuel calc; no-fuel gate clear",nonzero fuel output blocked,no,$3FCE,no,yes,"fuel calculation, no-fuel gate, and $3FCE bench validation complete",nonzero blocked,zero/no-pulse,FUEL_MINIMAL_MODULE_INPUTS.md; EFI_PW_3FCE_CONTRACT.md,yes,high_policy,Nonzero fuel output is not a boot default.
dfco_gate_preserve,FUEL_SAFE_STATE,reset/crank/run/dropout,fuel,no_fuel_gate,DFCO/no-fuel gate represented,"DFCO/no-fuel permission; crank/run status",D=0 can be forced,candidate,$3FCE,yes_provisional_via_contract,yes,DFCO zero-gate behavior validated,D=0 path available,D=0 path forced,FUEL_MINIMAL_MODULE_INPUTS.md; MINIMAL_OS_EXECUTION_SCHEDULER.md,yes,medium_static,Zero gate must survive boot and dropout design.
spark_safe,SPARK_SAFE_STATE,RESET_ENTRY / REF_DRP_WAIT / dropout,spark,safe_intent,spark safe/no-authority intent,"no valid REF/DRP; no run qualification; bypass/EST authority unknown",no direct ASIC timing writes,forbidden,$3FE8/$3FE6/$3FF6/$3FDC,no,yes,"spark handoff, rolling seed, and physical EST/bypass behavior bench-proven",no-authority / bypass-intent only,safe/bypass/dropout intent only,SPARK_MINIMAL_MODULE_INPUTS.md; SPARK_BYPASS_EST_TRANSITION.md; SPARK_ROLLING_STATE_MODEL.md,yes,high_policy,"Spark output is not writer-safe; intent state only."
spark_roll_seed,SPARK_SAFE_STATE,RESET_ENTRY / first valid period,spark,rolling_seed,rolling timing seed candidate marked unresolved,"first valid DRP/ref period; init state",rolling state held/uncommitted,forbidden,$3FF6/$3FDC,no,yes,$3FF6/$3FDC first-event seed behavior bench-proven,no direct seed write,no direct seed write,SPARK_INIT_STATE.md; SPARK_ROLLING_STATE_MODEL.md,yes_future,high_static,Seed requirement is documented but not implemented.
spark_bypass_safe,SPARK_SAFE_STATE,RESET_ENTRY / crank/run transition,spark,bypass_est_authority,bypass/EST authority state is safe/unknown,"bypass/EST input state; run qualification",no physical authority action,forbidden,EST/bypass hardware,no,yes,physical EST/bypass authority code bench-proven,remain safe/no-authority,safe/bypass/dropout intent,SPARK_BYPASS_EST_TRANSITION.md; source/minimal_os/spark/README.md,yes,high_policy,No physical EST/bypass code in boot-safe contract.
