endpoint_id,direction,semantic_signal,software_location,hardware_class,candidate_connector_pin,expected_electrical_behavior,expected_range_polarity_frequency,scaling_conversion,update_cadence,software_evidence,physical_evidence,permission_default,bench_stimulus_test
TPS,input,throttle_position,"ADC result $3031 in multi-channel mode -> L00A6 raw; filtered/converted throttle state feeds L01D9",analog_ADC,UNKNOWN,"3-wire voltage-divider behavior inferred; voltage should rise with throttle",~0.5V closed to ~4.5V WOT inferred,"raw 8-bit ADC -> calibrated/filtered %TPS",recurring ADC service,SOFTWARE_PROVEN,ELECTRICAL_INFERRED,READ_ONLY,"With PCM powered and actuator permissions false, inject/produce low-mid-high TPS signal (prefer real sensor or current-limited 0.5/2.5/4.5V); log L00A6 and converted %TPS; confirm monotonic increase and endpoints"
MAP,input,manifold_absolute_pressure,"ADC result $3032 in normal multi-channel path or selected MAP conversion -> L082E raw",analog_ADC,UNKNOWN,"3-wire pressure transducer behavior inferred; signal rises with absolute pressure",~0.5-4.5V inferred; vacuum-to-pressure monotonic,"raw 8-bit ADC -> MAP kPa using frozen calibration/scaling",recurring ADC service plus synchronized MAP path,SOFTWARE_PROVEN,ELECTRICAL_INFERRED,READ_ONLY,"Apply known vacuum/pressure to real MAP sensor or inject three safe voltages; log L082E and converted kPa; verify monotonicity and scaling"
COOLANT,input,coolant_temperature,"selected ADC result -> L00A5 raw; LC8D6 lookup through $FC45/$FD45 -> converted coolant state including L00B4/L0006 paths",thermistor_ADC,UNKNOWN,"NTC thermistor/pull-up behavior inferred; colder/open tends toward higher signal voltage",resistance-dependent 0-5V ADC domain inferred,"8-bit raw -> table-converted coolant representation",scheduled temperature service,SOFTWARE_PROVEN,ELECTRICAL_INFERRED,READ_ONLY,"Substitute known resistances/open/short-safe limits at coolant input; record L00A5 and converted coolant; verify monotonic hot/cold direction and lookup endpoints"
MAT_IAT,input,manifold_air_temperature,"ADC mode $04, result $3034 -> COMA -> L0230; lookup from $FE45 -> converted MAT state",thermistor_ADC,UNKNOWN,"NTC thermistor/pull-up behavior inferred; source explicitly inverts raw ADC before conversion",resistance-dependent 0-5V ADC domain inferred,"raw ADC inverted then table-converted; default/fault logic frozen",scheduled MAT service,SOFTWARE_PROVEN,ELECTRICAL_INFERRED,READ_ONLY,"Substitute known resistances/open/short-safe limits; record pre/post inversion if exposed, L0230, converted MAT and fault/default state"
O2_NARROWBAND,input,oxygen_sensor_voltage,"ADC result $3033 in normal multi-channel path -> L01D5 raw",analog_ADC,UNKNOWN,"narrowband O2 voltage source; low=lean high=rich",~0.05-0.95V typical inferred,"raw ADC -> O2 voltage/lean-rich qualification; invalid disables closed-loop trim",recurring ADC/closed-loop service,SOFTWARE_PROVEN,ELECTRICAL_INFERRED,READ_ONLY,"Inject current-limited 0.10/0.45/0.90V referenced to sensor return; log L01D5 and lean/rich/valid flags; confirm thresholds and monotonicity"
BATTERY_IGN,input,battery_voltage_and_key_power,"ADC $3034 path -> L00A7; LC56F also stores battery*10 at L0055; L8613 classifies <4V as ignition-off and 4-9V low battery",analog_ADC_power_sense,PCM_POWER_FEED_UNKNOWN,"supply voltage measured through internal divider",PCM operating supply; software thresholds 4V and 9V explicitly proven,"ADC -> VDC/10 representations L00A7/L0055",scheduled battery service,SOFTWARE_PROVEN,PHYSICAL_PIN_INFERRED,READ_ONLY,"Power PCM from current-limited bench supply; test 9/12/14V first and observe L00A7/L0055; later sweep toward key-off threshold under controlled conditions and verify L0044 bit4 semantics"
REF_DRP,input,engine_reference_period,"ASIC period/capture L3FC0 -> L005F and RPM/run-qualification state",timing_capture_ASIC,UNKNOWN,"pulse/event timing input from ignition/reference path; exact level/polarity remains bench-boundary",frequency proportional to engine speed; exact electrical level unknown,"period counts -> RPM/timebase using frozen $31 conversion",asynchronous REF/DRP event,SOFTWARE_PROVEN,PHYSICAL_PIN_INFERRED,READ_ONLY,"After pin/interface identification, drive a current-limited reference source at several known frequencies or use ignition module bench source; log L3FC0/L005F/RPM and run-qualification event count; confirm inverse period-frequency relation"
KNOCK_EVENT,input,knock_front_end_event_count,"CPU pulse-accumulator/counter state around relocated $3203/$3204 feeds knock/fault logic",pulse_counter_input,UNKNOWN,"conditioned knock-front-end events counted by CPU; raw sensor analog behavior is not claimed here",event count/frequency; physical level unknown,"counter delta -> knock detection/retard logic; fault fallback fixed retard frozen",event/minor-loop based,SOFTWARE_PROVEN,PHYSICAL_PIN_INFERRED,READ_ONLY,"Use mounted sensor tap or conditioned bench pulse source after front-end pin is identified; record $3203/$3204 delta and semantic knock count/retard; verify count increases without false authority changes"
VSS_OPTIONAL,input,vehicle_speed,stock vehicle-speed state feeds DFCO/dashpot but is not required for first stationary engine runtime,timing_capture_or_conditioned_input,UNKNOWN,"pulse train proportional to vehicle speed",frequency proportional to speed; exact interface unknown,"pulse/count -> vehicle speed",event/scheduled,SOFTWARE_PROVEN,PHYSICAL_PIN_INFERRED,DISABLED_OPTIONAL,"Leave disabled for first engine-off/first-start runtime. If retained later, inject known frequencies and verify speed scaling plus zero-speed fallback"
AC_REQUEST_OPTIONAL,input,air_conditioning_load_request,stock idle-load/transition paths consume A/C state; optional in first runtime,digital_input,UNKNOWN,"binary request; polarity unknown",0/1 state,logical request -> idle/load modifier,scheduled,SOFTWARE_PROVEN,PHYSICAL_PIN_INFERRED,DISABLED_OPTIONAL,"If retained, toggle isolated candidate input and log semantic A/C request and idle-air modifier without enabling compressor output"
