module,submodule,input_name,input_role,source_symbol,source_address,calibration_section,calibration_address_range,module_candidate,minimal_os_relevance,required_for_first_minimal_os,hardware_contract_dependency,bench_dependency,excluded_reason,confidence,notes
fuel,sensor_acquire,RPM,sensor,REF/DRP period / RPM state,source-derived,"source trace, no direct calibration section",,unknown,unknown,required,REF_RPM_PERIOD hardware contract,RPM source/period validity bench gates,,high_boundary,"Needed for speed-density fuel scheduling, crank/run, AE/DFCO/PE gates."
fuel,sensor_acquire,MAP / load,sensor,MAP ADC/scaled MAP,source-derived,91 $4CEA-$4CF2; 115 $4EB7-$4EC1; 136 $5067-$5071,$4CEA-$4CF2; $4EB7-$4EC1; $5067-$5071,sensor_scaling/fuel,likely_required,required,SENSOR_ACQUIRE and fuel VE/load path,MAP scaling validation,,medium_index,Primary speed-density load axis and VE/fuel correction dependency.
fuel,sensor_acquire,TPS / throttle state,sensor,TPS ADC/scaled TPS,source-derived,77 $4BEA-$4C03; 81-84 $4C73-$4C96; 97-98 $4D5B-$4D7B,$4BEA-$4C03; $4C73-$4C96; $4D5B-$4D7B,sensor_scaling,likely_required,likely_required,SENSOR_ACQUIRE; AE/PE/DFCO gate paths,TPS threshold validation,,medium_index,"Needed for transient and mode gates; can be simpler for first open-loop fuel."
fuel,sensor_acquire,coolant temperature,sensor,CTS/scaled coolant,source-derived,21 $452D-$4536; 62-64 $4A36-$4A55; 73-76 $4B97-$4BE9; 102 $4DC2-$4DCC,multiple CTS sections,crank_start/warmup_afterstart/sensor_scaling,likely_required,required,SENSOR_ACQUIRE; crank/warmup/afterstart contracts,CTS scaling validation,,medium_index,"Required for crank fuel, warmup, afterstart, and open-loop correction."
fuel,sensor_acquire,battery voltage,sensor,L00A7 battery volts VDC/10 candidate,0x00A7,71 $4B75-$4B85; 114 $4EB6-$4EB6,$4B75-$4B85; $4EB6,battery_voltage,likely_required,required,SENSOR_ACQUIRE; injector deadtime/battery correction,deadtime unit and voltage scaling,,medium_contract,Battery voltage is needed for injector offset/deadtime and voltage protection.
fuel,sensor_acquire,baro / altitude basis,sensor,BARO/MAP-derived baro,source-derived,25 $4558-$4584; 45 excluded EGR baro; 142 $50FA-$5109; 151 $5151-$5163 excluded trans,$4558-$4584; $50FA-$5109,sensor_scaling,likely_required,likely_required,SENSOR_ACQUIRE; fuel airflow correction,baro source/pseudo-baro validation,,medium_index,"Needed for altitude/load correction; use only non-excluded sensor/fuel-relevant sections."
fuel,mode_gates,crank/run state,state,engine running / crank flags,source-derived,53 $494A-$494E; 153-155 $5603-$56AF,$494A-$494E; $5603-$56AF,crank_start,likely_required,required,REF_RPM_PERIOD and startup state gates,crank/run transition validation,,medium_index,Separates crank fuel from run fuel and validates pulse enable state.
fuel,mode_gates,closed-loop permission state,mode_gate,closed-loop O2 enable/permission,source-derived,52 $4914-$4949; 55 $4975-$4979,$4914-$4949; $4975-$4979,fuel/sensor_scaling,likely_required,optional_initially,O2/sensor contract; fuel trim gate,O2 behavior and trim policy,,medium_index,"Optional initially; first runnable module can be open-loop with simple gate."
fuel,mode_gates,DFCO permission / zero fuel gate,safety_gate,DFCO/no-fuel flag and zero gate,source-derived,54 $494F-$4974 is trans_excluded in index but comments include decel; use source proof required,source trace required,fuel/unknown,unknown,required,EFI_PW_3FCE_CONTRACT; no-fuel zero behavior,DFCO zero-to-$3FCE bench proof,,medium_boundary,"Must preserve no-fuel behavior; do not pull trans/decel baggage blindly from calibration index."
fuel,mode_gates,PE permission state,mode_gate,PE enable/thresholds,source-derived,79 $4C26-$4C52; 80 $4C53-$4C72; 196 $5F30-$5F40,$4C26-$4C72; $5F30-$5F40,fuel,likely_required,optional_initially,FUEL_OUTPUT mode gate,PE threshold/refinement validation,,medium_index,"Needed for load enrichment eventually; can be coarse/optional for first safe loop if limits are conservative."
