module,submodule,input_name,input_role,source_symbol,source_address,calibration_section,calibration_address_range,module_candidate,minimal_os_relevance,required_for_first_minimal_os,hardware_contract_dependency,bench_dependency,excluded_reason,confidence,notes
iac_idle,sensor_inputs,RPM / engine speed,sensor,RPM/ref-derived state,source-derived,CAL_4EA1/CAL_4EAA/CAL_4F92 candidates,$4EA1-$4FEC,iac_idle,bench_gated,required,IAC_IDLE_AIR_OUTPUT_CONTRACT.md,RPM source and idle-loop cadence remain source/bench-gated,,medium_planning,"Required for idle RPM error, step-rate/cadence, and target correction."
iac_idle,sensor_inputs,actual idle RPM,sensor,measured RPM state,source-derived,iac_idle RPM-error sections,$4EA1-$4FEC,iac_idle,bench_gated,required,IAC_IDLE_AIR_OUTPUT_CONTRACT.md,actual RPM acquisition/cadence still source-gated,,medium_planning,Needed to compute RPM error against desired idle.
iac_idle,idle_target,desired idle RPM,idle_target,desired RPM target state,source-derived,CAL_4EA1/CAL_4EAA and related idle sections,$4EA1-$4EB0,iac_idle,bench_gated,required,IAC_INIT_PARK_CONTRACT.md,exact desired-idle table/source still needs source trace,,medium_planning,First minimal IAC module needs an idle target even if initial target is fixed/simple.
iac_idle,idle_target,RPM error,idle_target,desired - actual RPM error,source-derived,CAL_4EAA; CAL_4F92..CAL_4FE1 candidates,$4EAA-$4FE1,iac_idle,bench_gated,likely_required,IAC_IDLE_AIR_OUTPUT_CONTRACT.md,gain/table use remains source-gated,,medium_planning,"Needed for closed-loop idle-air correction, but first minimal can use a simplified policy."
iac_idle,sensor_inputs,coolant temperature,sensor,CTS/coolant state,source-derived,CAL_4E92 IAC position vs coolant; coolant-indexed idle sections,$4E92-$4EA0,iac_idle,bench_gated,likely_required,IAC_INIT_PARK_CONTRACT.md,coolant-to-target mapping is source-gated,,high_planning,Needed for crank/cold idle/park target planning.
iac_idle,mode_gates,crank/run state,mode_gate,crank/run flags,source-derived,none,none,unknown,unknown,required,IAC_INIT_PARK_CONTRACT.md,crank/run transition behavior source-gated,,high_static,"IAC target and reset/park behavior differ before crank, during crank, and in run."
iac_idle,startup_park,startup/crank air request,startup_park,crank/start IAC target state,source-derived,CAL_4E92; CAL_4EB0; CAL_57A0 candidates,$4E92-$4EB0;$57A0-$57AA,iac_idle,bench_gated,likely_required,IAC_INIT_PARK_CONTRACT.md,physical meaning of targets bench-gated,,medium_planning,Needed to get starting air without trusting closed-loop idle strategy.
iac_idle,startup_park,park/reset state,startup_park,L0009 bit0/bit2; L0044 bit4; L0004 bit3,0x0009/0x0044/0x0004,CAL_4EB0,$4EB1-$4EB5,iac_idle,bench_gated,required,IAC_INIT_PARK_CONTRACT.md,park/reset physical direction and hard-stop behavior bench-gated,,high_static,Required before actual position can be trusted.
iac_idle,startup_park,bad-shutdown state,startup_park,L0004 bit3 candidate,0x0004,none,none,unknown,bench_gated,likely_required,IAC_INIT_PARK_CONTRACT.md,bad-shutdown physical recovery behavior bench-gated,,high_static,Bad-shutdown path affects setup clear and position trust policy.
iac_idle,startup_park,reset-in-work state,startup_park,L0009 bit0,0x0009,none,none,unknown,bench_gated,required,IAC_INIT_PARK_CONTRACT.md,actual-zero/home behavior bench-gated,,high_static,Controls desired=0 reset path until L0007 reaches zero.
iac_idle,startup_park,R/S requested state,startup_park,L0009 bit2,0x0009,none,none,unknown,bench_gated,likely_required,IAC_INIT_PARK_CONTRACT.md,ignition-off/park request behavior bench-gated,,high_static,Used in ignition-off park-down desired request.
iac_idle,enable_gate,battery voltage,sensor,L00A7,0x00A7,CAL_4EB6 voltage threshold candidate,$4EB6,battery_voltage,likely_required,required,IAC_ENABLE_FAULT_GATE_CONTRACT.md,physical Enable behavior around voltage thresholds bench-gated,,high_static,Voltage gates Enable/protection and may block movement.
iac_idle,enable_gate,IAC enable/protection state,enable_gate,L000A bit4; L003E bit2; L004C bit4; L3062 bit4,0x000A/0x003E/0x004C/0x3062,CAL_4EB6,$4EB6,battery_voltage,bench_gated,required,IAC_ENABLE_FAULT_GATE_CONTRACT.md,physical Enable pin/function bench-gated,,high_static,"Must be valid before physical stepping is trusted; not step-pulsed in source path."
iac_idle,position_state,actual IAC position,position_state,L0007,0x0007,none,none,unknown,bench_gated,required,IAC_IDLE_AIR_OUTPUT_CONTRACT.md; IAC_INIT_PARK_CONTRACT.md,physical open/closed meaning and seed validity bench-gated,,high_static,Software actual/present position used by desired/actual compare.
iac_idle,position_state,IAC actual-position seed validity,position_state,L0007 seed; L0009 bit0; L0046 bit6,0x0007/0x0009/0x0046,CAL_4EB0,$4EB1-$4EB5,iac_idle,bench_gated,required,IAC_INIT_PARK_CONTRACT.md,normal-shutdown retention and reset/home hard-stop behavior bench-gated,,high_static,Minimal OS must not trust L0007 until deliberately seeded or proven retained valid.
iac_idle,position_state,desired IAC target,position_state,L0008,0x0008,CAL_4E92; CAL_4EB0; CAL_57A0 candidates,$4E92-$4EB0;$57A0-$57AA,iac_idle,bench_gated,required,IAC_IDLE_AIR_OUTPUT_CONTRACT.md; IAC_INIT_PARK_CONTRACT.md,physical target meaning bench-gated,,high_static,Target value compared against L0007 to decide motion.
iac_idle,position_state,IAC position error,position_state,L0008 - L0007 compare,0x0007/0x0008,none,none,unknown,bench_gated,required,IAC_IDLE_AIR_OUTPUT_CONTRACT.md,count sign vs airflow/open direction bench-gated,,high_static,Core desired-vs-actual decision feeding direction and count update.
iac_idle,phase,step direction,phase_state,L000A bit0,0x000A,none,none,unknown,bench_gated,required,IAC_PHASE_SEQUENCE_CONTRACT.md,open/close direction bench-gated,,high_static,Direction selects next neighbor in A/B ring.
iac_idle,phase,A/B phase state,phase_state,L000A bits2/3,0x000A,none,none,unknown,bench_gated,required,IAC_PHASE_SEQUENCE_CONTRACT.md,physical A/B mapping and external driver behavior bench-gated,,high_static,Required to advance stepper phase safely.
iac_idle,cadence,step cadence / rate limit,cadence,step timer/update gate candidates,source-derived,CAL_4EA1/CAL_4EAA/CAL_4F92 candidates,$4EA1-$4FE1,iac_idle,bench_gated,required,IAC_IDLE_AIR_OUTPUT_CONTRACT.md,safe physical cadence/rate limit bench-gated,,medium_planning,"Must exist before any writer; output path alone is not enough."
iac_idle,dashpot,dashpot / follower state,dashpot,dashpot/follower state candidates,source-derived,CAL_57A0; vehicle-speed/TPS sections candidates,$57A0+;various,iac_idle,bench_gated,optional_initially,source/minimal_os/iac/README.md,dashpot/follower behavior source-gated,,low_medium_planning,"Optional initially; avoid full GM strategy baggage."
iac_idle,mode_gates,closed-throttle / idle-mode state,mode_gate,TPS/closed-throttle state,source-derived,sensor_scaling/TPS sections,various,sensor_scaling,likely_required,required,IAC_IDLE_AIR_OUTPUT_CONTRACT.md,closed-throttle threshold/source behavior source-gated,,medium_planning,Required so IAC does not chase idle target off-idle.
iac_idle,sensor_inputs,TPS / throttle state,sensor,TPS state,source-derived,sensor_scaling sections,various,sensor_scaling,likely_required,likely_required,IAC_IDLE_AIR_OUTPUT_CONTRACT.md,TPS scaling/threshold source-gated,,medium_planning,Supports idle-mode gate and dashpot/follower decisions.
iac_idle,dashpot,vehicle speed if used for dashpot/follower,sensor,VSS/MPH state,source-derived,vehicle-speed/TPS sections,various,sensor_scaling,likely_required,optional_initially,source/minimal_os/iac/README.md,vehicle-speed IAC modifiers source-gated,,low_medium_planning,"Useful for dashpot/follower; not required for first stationary idle control."
iac_idle,safety,stall/dropout safe state,safety_gate,run/REF/RPM validity; protection state,source-derived,none,none,unknown,bench_gated,required,MINIMAL_OS_MODULE_BOUNDARY.md; IAC_INIT_PARK_CONTRACT.md,safe default/park behavior bench-gated,,medium_planning,Required to avoid uncontrolled idle-air state on invalid RPM/ref/reset.
iac_idle,output_latch,output shadow/latch dependency,output_scale,L000A bits2/3/4 -> L004C bits2/3/4 -> L3062,0x000A/0x004C/0x3062,none,none,unknown,bench_gated,required,IAC_IDLE_AIR_OUTPUT_CONTRACT.md; IAC_PHASE_SEQUENCE_CONTRACT.md; IAC_ENABLE_FAULT_GATE_CONTRACT.md,direct L3062 writer forbidden until physical pins and cadence are proven,,high_static,"Defines output dependency only; no writer allowed."
iac_idle,excluded,transmission shift/TCC idle modifiers,excluded,trans/TCC idle-adjacent tables,calibration,trans_excluded sections,various,trans_excluded,excluded,excluded,none,none,transmission strategy excluded unless hardware-required,high_policy,Do not pull trans/TCC idle modifiers into minimal IAC.
iac_idle,excluded,EGR idle correction,excluded,EGR correction tables,calibration,egr_excluded sections,various,egr_excluded,excluded,excluded,none,none,EGR/emissions strategy excluded,high_policy,EGR idle correction remains excluded.
iac_idle,excluded,EVAP/purge idle correction,excluded,EVAP/purge correction tables,calibration,evap_excluded sections,various,evap_excluded,excluded,excluded,none,none,EVAP/purge strategy excluded,high_policy,EVAP/purge idle correction remains excluded.
iac_idle,excluded,emissions-only diagnostics,excluded,emissions/diagnostic-only state,calibration,emissions/excluded candidates,various,emissions_excluded,excluded,excluded,none,none,emissions-only diagnostics excluded unless hardware safety-relevant,high_policy,Diagnostics do not become idle-air inputs unless tied to safety gate.
iac_idle,unknown,unresolved IAC inputs,unknown,unknown,unknown,unknown rows from calibration index,unknown,unknown,unknown,unknown,IAC_MINIMAL_MODULE_INPUTS.md,requires future source trace,,low_unclassified,Unknowns stay listed and are not guessed or promoted.
